web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572900557-1474","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/206-Loreto-Ct-Martinez-CA-94553/18398480_zpid/","Martinez, CA 94553","For sale","206 Loreto Ct,","2","https://www.zillow.com/martinez-ca/2_p/","","","2,591","5","3","$850,005","$850,000","Single Family","1992","Forced air","Central","Single Family","0.25 acres","$3,500/mo","null","null","null","{""targetDiv"":""gpt-ad-e01a686b-948c-46b3-b4ea-cc5fe0babd58"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""206 Loreto Ct"",""bd"":""5"",""fsbid"":""9318"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18398480"",""lot"":""3"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""4582040209246952681"",""sqftrange"":""2500-2999"",""price"":""850000"",""sqft"":""2591"",""posting_url"":""http://www.windermere.com/listing/99879084"",""mlong"":""-122.101451"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94553"",""mlat"":""37.998099"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3v86vf72z0wd1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1990-1999"",""zestimate"":""850005"",""premieragent"":""no""}}","null","null","null","null"
"1572900608-1519","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/455-Eastgate-Ln-Martinez-CA-94553/18399613_zpid/","Martinez, CA 94553","For sale","455 Eastgate Ln,","","","","","1,088","2","2","$409,951","$409,950","Condo","1984","Forced air","Central","Condo","$355/month","null","6","6","9","{""targetDiv"":""gpt-ad-39a9e356-3731-4b06-b61b-21d66c86180e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""455 Eastgate Ln"",""bd"":""2"",""fsbid"":""14106"",""city"":""Martinez"",""proptp"":""cnd"",""pid"":""18399613"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""7292915153054602280"",""sqftrange"":""1000-1499"",""price"":""409950"",""sqft"":""1088"",""posting_url"":"""",""mlong"":""-122.09668"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94553"",""mlat"":""37.991826"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzv6qgm7x9ya30000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""409951"",""premieragent"":""no""}}","null","null","null","null"
"1572900737-1673","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/1526-Rolling-Hill-Way-Martinez-CA-94553/18395581_zpid/","Martinez, CA 94553","For sale","1526 Rolling Hill Way,","","","","","1,268","3","2","$676,586","$659,000","Single Family","1966","Forced air","Central","Single Family","8,624 sqft","null","6","6","9","{""targetDiv"":""gpt-ad-aeea311b-9281-4eb4-9cf1-fba9729c6517"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1526 Rolling Hill Way"",""bd"":""3"",""fsbid"":""14311"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18395581"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""7632810661029639897"",""sqftrange"":""1000-1499"",""price"":""659000"",""sqft"":""1268"",""posting_url"":""http://www.thelacyteam.com"",""mlong"":""-122.094668"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94553"",""mlat"":""37.987659"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7afkb63q4n7g0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1960-1969"",""zestimate"":""676586"",""premieragent"":""no""}}","null","null","null","null"
"1572900787-1732","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/90-Elder-Dr-APT-B-Pacheco-CA-94553/18363404_zpid/","Pacheco, CA 94553","For sale","90 Elder Dr APT B,","","","","","888","2","2","$359,001","$359,000","Condo","1985","Forced air","Central","Condo","$410/month","$2,300/mo","6","6","9","{""targetDiv"":""gpt-ad-39cf1939-991a-42de-905d-00e17a7a5c76"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt B"",""aamgnrc1"":""90 Elder Dr"",""bd"":""2"",""fsbid"":""14106"",""city"":""Pacheco"",""proptp"":""cnd"",""pid"":""18363404"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""7049901269761417699"",""sqftrange"":""500-999"",""price"":""359000"",""sqft"":""888"",""posting_url"":""http://www.eastbaypro.com"",""mlong"":""-122.072485"",""state"":""CA"",""prange"":""350-399k"",""zip"":""94553"",""mlat"":""37.982992"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfovcqa9unkjo1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1980-1989"",""zestimate"":""359001"",""premieragent"":""no""}}","null","null","null","null"
"1572900699-1628","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/89-Fountainhead-Ct-Martinez-CA-94553/18396652_zpid/","Martinez, CA 94553","Coming soon: Nov 3.","89 Fountainhead Ct,","","","","","1,740","4","3","$592,020","$559,000","Townhouse","1976","No Data","No Data","Townhouse","1,972 sqft","null","6","6","9","{""targetDiv"":""gpt-ad-4be2bfb5-f754-4768-9e4a-558838ffa33f"",""slot"":""zillow/property_details/buy_comingsoon/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""89 Fountainhead Ct"",""bd"":""4"",""city"":""Martinez"",""proptp"":""twn"",""pid"":""18396652"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_comingsoon"",""zguidh"":""-5705815249353754853"",""sqftrange"":""1500-1999"",""price"":""559000"",""sqft"":""1740"",""posting_url"":"""",""mlong"":""-122.084733"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94553"",""mlat"":""37.987657"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrx6lv22katzl0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1970-1979"",""zestimate"":""592020"",""premieragent"":""no""}}","null","null","null","null"
"1572900669-1586","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/432-Gilger-Ave-Martinez-CA-94553/18488468_zpid/","Martinez, CA 94553","For sale","432 Gilger Ave,","","","","","1,551","3","2","$586,550","$579,900","Single Family","1926","Forced air","Central","Single Family","3,484 sqft","null","6","6","7","{""targetDiv"":""gpt-ad-6788bc60-3a2a-4c23-880d-a855edce36a2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""432 Gilger Ave"",""bd"":""3"",""fsbid"":""13601"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18488468"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""1679019627394343132"",""sqftrange"":""1500-1999"",""price"":""579900"",""sqft"":""1551"",""posting_url"":""http://greathomes.org/mls/property/21926328"",""mlong"":""-122.132784"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94553"",""mlat"":""37.998938"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjvfcet09bqxg1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1920-1939"",""zestimate"":""586550"",""premieragent"":""no""}}","null","null","null","null"
"1572900747-1686","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/1517-Brown-St-Martinez-CA-94553/18489956_zpid/","Martinez, CA 94553","For sale","1517 Brown St,","","","","","888","1","1","$419,184","$415,000","Single Family","1918","Wall","None","Single Family","4,098 sqft","$2,200/mo","3","6","7","{""targetDiv"":""gpt-ad-6c776bb3-27cc-47a5-98e3-ab8e15a4b5ed"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1517 Brown St"",""bd"":""1"",""fsbid"":""15050"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18489956"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""5972705525221533158"",""sqftrange"":""500-999"",""price"":""415000"",""sqft"":""888"",""posting_url"":""http://reneewhite.com"",""mlong"":""-122.124928"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94553"",""mlat"":""38.014946"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr12k2xl03e3i0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1900-1919"",""zestimate"":""419184"",""premieragent"":""no""}}","null","null","null","null"
"1572900626-1542","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/15-Mcnamara-Ln-Martinez-CA-94553/18400123_zpid/","Martinez, CA 94553","Pre-foreclosure","15 Mcnamara Ln,","","","","","null","4","null","$902,034","$902,034","Single Family","1992","No Data","No Data","Single Family","0.45 acres","null","6","6","7","{""targetDiv"":""gpt-ad-7e48c1e2-c4d6-492a-80e8-a48f4d8c6fc4"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""15 Mcnamara Ln"",""bd"":""4"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18400123"",""lot"":""3"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""7237692702678769404"",""sqftrange"":""2500-2999"",""price"":""929932"",""sqft"":""2521"",""posting_url"":"""",""mlong"":""-122.111943"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94553"",""mlat"":""37.98313"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1990-1999"",""zestimate"":""929932"",""premieragent"":""no""}}","null","null","null","null"
"1572900487-1416","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/341-El-Serena-112-Pacheco-CA-94553/2083136712_zpid/","Pacheco, CA 94553","For sale","341 El Serena # 112,","2","https://www.zillow.com/martinez-ca/2_p/","","","1,488","2","2","$167,638","$165,900","Mobile / Manufactured","No Data","No Data","No Data","Mobile / Manufactured","$111","$2,450/mo","6","6","9","{""targetDiv"":""gpt-ad-44dfde47-9b6b-460f-b07b-153c60dbb599"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 112"",""zip"":""94553"",""aamgnrc1"":""341 El Serena"",""mlat"":""37.992754"",""bd"":""2"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1iwyyrkcgz90000000000.jpg"",""zusr"":""true"",""city"":""Pacheco"",""proptp"":""mm"",""pid"":""2083136712"",""price_band"":""z100"",""zestimate"":""167638"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""3203029255214076272"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""165900"",""sqft"":""1488"",""posting_url"":"""",""mlong"":""-122.064113"",""state"":""CA"",""prange"":""150-199k""}}","null","null","null","null"
"1572900452-1387","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/328-Mill-Rd-Martinez-CA-94553/18493229_zpid/","Martinez, CA 94553","Pre-foreclosure","328 Mill Rd,","","","3","https://www.zillow.com/martinez-ca/3_p/","null","2","null","$375,743","$375,743","Condo","1983","Forced air","Central","Condo","$400/month","null","9","6","7","No Data","null","null","null","null"
"1572900718-1648","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/2365-Monterey-Ave-Martinez-CA-94553/18490937_zpid/","Martinez, CA 94553","For sale","2365 Monterey Ave,","","","","","1,042","3","1","$594,017","$585,000","Single Family","1926","Forced air","Central","Single Family","5,950 sqft","null","9","6","7","{""targetDiv"":""gpt-ad-60794a6d-28c2-415d-82dc-9ca7403f04d0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2365 Monterey Ave"",""bd"":""3"",""fsbid"":""14106"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18490937"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-8987620456132434413"",""sqftrange"":""1000-1499"",""price"":""585000"",""sqft"":""1042"",""posting_url"":"""",""mlong"":""-122.120585"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94553"",""mlat"":""38.007335"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfsazckslpfh10000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1920-1939"",""zestimate"":""594017"",""premieragent"":""no""}}","null","null","null","null"
"1572900504-1433","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/189-Village-Pl-Martinez-CA-94553/18493175_zpid/","Martinez, CA 94553","For sale","189 Village Pl,","2","https://www.zillow.com/martinez-ca/2_p/","","","911","2","2","$400,000","$400,000","Condo","1983","Forced air","Central","Condo","$400/month","null","9","6","7","{""targetDiv"":""gpt-ad-6bd9bc2a-8161-4136-b366-4d36ac2aba2b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""189 Village Pl"",""bd"":""2"",""fsbid"":""9318"",""city"":""Martinez"",""proptp"":""cnd"",""pid"":""18493175"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-2055931406837039767"",""sqftrange"":""500-999"",""price"":""400000"",""sqft"":""911"",""posting_url"":""http://www.windermere.com/listing/99277668"",""mlong"":""-122.112942"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94553"",""mlat"":""37.999056"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzr7oslv3kezf0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""400000"",""premieragent"":""no""}}","null","null","null","null"
"1572900808-1749","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/160-Sahara-Dr-Pacheco-CA-94553/2083671026_zpid/","Pacheco, CA 94553","For sale","160 Sahara Dr,","","","","","1,152","2","2","$170,375","$169,950","Mobile / Manufactured","No Data","Other","No Data","Mobile / Manufactured","$148","$2,395/mo","6","6","9","{""targetDiv"":""gpt-ad-47c6c32e-5158-4543-8c12-af2cba0d5403"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94553"",""aamgnrc1"":""160 Sahara Dr"",""mlat"":""37.98798"",""bd"":""2"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3fcen0dgwadk0000000000.jpg"",""zusr"":""true"",""city"":""Pacheco"",""proptp"":""mm"",""pid"":""2083671026"",""price_band"":""z100"",""zestimate"":""170375"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""-3185760902349702282"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""169950"",""sqft"":""1152"",""posting_url"":"""",""mlong"":""-122.064711"",""state"":""CA"",""prange"":""150-199k""}}","null","null","null","null"
"1572900542-1464","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/5108-Alhambra-Valley-Rd-Martinez-CA-94553/18488109_zpid/","Martinez, CA 94553","For sale","5108 Alhambra Valley Rd,","2","https://www.zillow.com/martinez-ca/2_p/","","","null","--","null","$1,412,877","$1,425,000","Multi Family","1973","Forced air","Central","Multi Family","$305","$4,941/mo","6","6","7","{""targetDiv"":""gpt-ad-4d8816a1-73d2-4651-b1ac-c7a403324cb1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5108 Alhambra Valley Rd"",""bd"":""0"",""fsbid"":""14106"",""city"":""Martinez"",""proptp"":""mfh"",""pid"":""18488109"",""lot"":""6"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7167808115998152037"",""sqftrange"":""4500-4999"",""price"":""1425000"",""sqft"":""4673"",""posting_url"":"""",""mlong"":""-122.127204"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94553"",""mlat"":""37.97232"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfoz3q32x2dem0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1412877"",""premieragent"":""no""}}","null","null","null","null"
"1572900780-1727","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/168-Farm-Ln-Martinez-CA-94553/18493319_zpid/","Martinez, CA 94553","For sale","168 Farm Ln,","","","","","939","2","2","$350,002","$350,000","Condo","1984","Forced air","Central","Condo","$404/month","$2,300/mo","9","6","7","{""targetDiv"":""gpt-ad-2f7db101-f46c-4b81-a263-c9be0ea37063"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""168 Farm Ln"",""bd"":""2"",""fsbid"":""14106"",""city"":""Martinez"",""proptp"":""cnd"",""pid"":""18493319"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""2172913931508337425"",""sqftrange"":""500-999"",""price"":""350000"",""sqft"":""939"",""posting_url"":""http://www.hyles.com"",""mlong"":""-122.111897"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94553"",""mlat"":""37.999055"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS337qn0intdxp1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1980-1989"",""zestimate"":""350002"",""premieragent"":""no""}}","null","null","null","null"
"1572900766-1708","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/308-Via-Peralta-Pacheco-CA-94553/54628553_zpid/","Pacheco, CA 94553","For sale","308 Via Peralta,","","","","","1,584","2","2","$124,247","$125,000","Mobile / Manufactured","1976","Other","No Data","Mobile / Manufactured","$79","null","6","6","9","{""targetDiv"":""gpt-ad-ee99cf58-ca16-4dbe-87ee-51f238152ea4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94553"",""aamgnrc1"":""308 Via Peralta"",""mlat"":""37.99463"",""bd"":""2"",""fsbid"":""13599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfonmskfss6i30000000000.jpg"",""zusr"":""true"",""city"":""Pacheco"",""proptp"":""mm"",""pid"":""54628553"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""124247"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""9100547113359229212"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""125000"",""sqft"":""1584"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/308-via-peralta-pacheco-04553/pid-2181993621?lead=MemberKey%3D457014%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.064304"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572900702-1632","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/4008-Via-De-Flores-Martinez-CA-94553/18494196_zpid/","Martinez, CA 94553","For sale","4008 Via De Flores,","","","","","null","3","null","$498,977","$488,000","Single Family","1954","Other","Central","Single Family","6,033 sqft","$2,550/mo","3","6","7","{""targetDiv"":""gpt-ad-f39dde71-1511-4929-acf4-41c2136840e9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4008 Via De Flores"",""bd"":""3"",""fsbid"":""14073"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""18494196"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""136321423192316658"",""sqftrange"":""1000-1499"",""price"":""488000"",""sqft"":""1101"",""posting_url"":"""",""mlong"":""-122.093757"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94553"",""mlat"":""38.01053"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzte66hlgywl1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""498977"",""premieragent"":""no""}}","null","null","null","null"
"1572900724-1656","https://www.zillow.com/homes/martinez-CA_rb/","","https://www.zillow.com/homedetails/2110-Deerwood-Ct-Martinez-CA-94553/111414773_zpid/","Martinez, CA 94553","For sale","2110 Deerwood Ct,","","","","","1,511","4","2","$720,403","$695,000","Single Family","1967","Forced air","Central","Single Family","7,361 sqft","$3,150/mo","6","6","9","{""targetDiv"":""gpt-ad-46d38cd5-2c69-4196-82a1-2a76e44f3e97"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2110 Deerwood Ct"",""bd"":""4"",""fsbid"":""14106"",""city"":""Martinez"",""proptp"":""sfh"",""pid"":""111414773"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-9008387116825123741"",""sqftrange"":""1500-1999"",""price"":""695000"",""sqft"":""1511"",""posting_url"":""http://debbisnyder.com"",""mlong"":""-122.093457"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94553"",""mlat"":""37.988713"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0lkmoufke1o1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1960-1969"",""zestimate"":""720403"",""premieragent"":""no""}}","null","null","null","null"
