web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href
"1572916603-7842","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/6244-Carousel-Ave-Tracy-CA-95377/300277513_zpid/","Tracy, CA 95377","New construction","6244 Carousel Ave,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","3,773","4","4","$718,760","$736,010","Single Family","2019","No Data","No Data","Single Family","7,504 sqft","null","NA","null","null","{""targetDiv"":""gpt-ad-7ec75b2c-92bd-441e-9623-c09efaa9b51e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6244 Carousel Ave"",""bd"":""4"",""fsbid"":""11527"",""city"":""Tracy"",""proptp"":""sfh"",""pid"":""300277513"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""736010"",""sqft"":""3773"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/tracy/tracy-hills/topaz?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_tracy-hills-topaz"",""state"":""CA"",""mlong"":""-121.580915"",""cnty"":""Solano"",""prange"":""700-799k"",""zip"":""95377"",""mlat"":""37.707148"",""plid"":""28805012"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfbme32fts7b0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""718760"",""premieragent"":""no"",""builderChatId"":""11527-829564"",""dma"":""35""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572916867-8005","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/5847-Collier-Canyon-Rd-Livermore-CA-94551/2083664296_zpid/","Livermore, CA 94551","Lot/land","5847 Collier Canyon Rd,","","","","","4","https://www.zillow.com/livermore-ca/4_p/","","","null","95.71 acres","null","None","$1,900,000","null","null","null","null","null","null","$2,200/mo","7","7","8","{""targetDiv"":""gpt-ad-980a30f8-cd53-4931-a9e9-5227ba003056"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94551"",""aamgnrc1"":""5847 Collier Canyon Rd"",""mlat"":""37.735788"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqdvyezr7dr5w0000000000.jpg"",""zusr"":""true"",""city"":""Livermore"",""proptp"":""lot"",""pid"":""2083664296"",""lot"":""11"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1060590470663619980"",""premieragent"":""no"",""price"":""1900000"",""posting_url"":""http://gerardastocking.com"",""mlong"":""-121.808321"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null","","","","","","","",""
"1572916632-7862","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/community/glen-at-tassajara-hills/2083037336_zpid/","Dublin, CA 94568","New construction","Lot #0080, The Glen at Tassajara Hills,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","3,527","5","5","None","$1,558,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","4","8","{""targetDiv"":""gpt-ad-050811a8-3e99-47e1-b65f-2a7f60ff9787"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" ALACPD"",""aamgnrc1"":""7305 Colton Hills Dr"",""bd"":""5"",""fsbid"":""830"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2092517076"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""1558995"",""sqft"":""3527"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/The-Glen-at-Tassajara-Hills/Maywood"",""state"":""CA"",""mlong"":""-121.86763"",""cnty"":""Alameda"",""prange"":""1_5-1_999m"",""zip"":""94568"",""mlat"":""37.736712"",""plid"":""39794"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6mwxqoejkg171000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""830-808786"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572917263-8249","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/3327-Hampstead-Ct-Livermore-CA-94551/24949338_zpid/","Livermore, CA 94551","For sale","3327 Hampstead Ct,","2","https://www.zillow.com/livermore-ca/2_p/","","","","","","","2,540","4","3","$1,114,005","$1,114,000","Single Family","1993","Forced air","Central","Single Family","9,395 sqft","$3,800/mo","4","8","null","{""targetDiv"":""gpt-ad-62479814-c020-4f41-bdad-b61f43e3d62b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3327 Hampstead Ct"",""bd"":""4"",""fsbid"":""15050"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""24949338"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1513845116812484056"",""sqftrange"":""2500-2999"",""price"":""1114000"",""sqft"":""2540"",""posting_url"":""http://www.coreygreen4u.com"",""mlong"":""-121.760224"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94551"",""mlat"":""37.691674"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37u2gya075770000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1114005"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917040-8108","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/1300-Windswept-St-6-Livermore-CA-94550/249987008_zpid/","Livermore, CA 94550","For sale","1300 Windswept St # 6,","","","3","https://www.zillow.com/livermore-ca/3_p/","","","","","1,757","3","4","$683,066","$690,000","Condo","2017","Forced air","Central","Condo","$277/month","$3,300/mo","6","6","8","{""targetDiv"":""gpt-ad-c2b9a8e9-01c5-4821-9fd3-e3b936004ff1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 6"",""aamgnrc1"":""1300 Windswept St"",""bd"":""3"",""fsbid"":""13698"",""city"":""Livermore"",""proptp"":""cnd"",""pid"":""249987008"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-2928738964670360461"",""sqftrange"":""1500-1999"",""price"":""690000"",""sqft"":""1757"",""posting_url"":"""",""mlong"":""-121.715547"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94550"",""mlat"":""37.700001"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS72p2671f56x20000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""683066"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572916759-7939","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/788-Tranquility-Cir-UNIT-2-Livermore-CA-94551/2085929993_zpid/","Livermore, CA 94551","New construction","788 Tranquility Cir UNIT 2,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","2,169","3","3","$814,655","$819,000","Condo","2019","No Data","No Data","Condo","$346/month","null","6","4","8","{""targetDiv"":""gpt-ad-071800d6-cba9-4362-9d80-0ff6ef02fbf1"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 2"",""aamgnrc1"":""788 Tranquility Cir"",""bd"":""3"",""fsbid"":""13022"",""city"":""Livermore"",""proptp"":""cnd"",""pid"":""2085929993"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""stale"":""yes"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""819000"",""sqft"":""2169"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/livermore/harmony-at-sage/plan-7/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=522730&nhf_listing_type=plan&utm_term=plan_Plan7&utm_campaign=Livermore%2FCA"",""state"":""CA"",""mlong"":""-121.791563"",""cnty"":""Alameda"",""prange"":""800-899k"",""zip"":""94551"",""mlat"":""37.702071"",""plid"":""28389"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb52mhueergzu0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""814655"",""premieragent"":""no"",""builderChatId"":""13022-807137"",""dma"":""37""}}","null","null","null","null","","","","","","","",""
"1572916964-8062","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/874-Barney-Cmn-Livermore-CA-94550/250134817_zpid/","Livermore, CA 94550","New construction","874 Barney Cmn,","","","","","4","https://www.zillow.com/livermore-ca/4_p/","","","2,439","4","3","$952,735","$962,573","Single Family","2019","Forced air","Central","Single Family","No Data","null","6","6","8","{""targetDiv"":""gpt-ad-a209d934-59d9-45a4-ba97-7eddd785b7f1"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""874 Barney Cmn"",""bd"":""4"",""fsbid"":""15915"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""250134817"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""stale"":""yes"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""962573"",""sqft"":""2439"",""posting_url"":""http://sighomes.com/centra/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=33795&nhf_listing_type=community&utm_term=comm_Centra&utm_campaign=Livermore%2FCA"",""state"":""CA"",""mlong"":""-121.716679"",""cnty"":""Alameda"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94550"",""mlat"":""37.700885"",""plid"":""3787951"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISeca87op7zcs01000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""952735"",""premieragent"":""no"",""builderChatId"":""15915-779736"",""dma"":""37""}}","null","null","null","null","","","","","","","",""
"1572916594-7836","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/2555-Luna-Ave-Tracy-CA-95377/300277936_zpid/","Tracy, CA 95377","New construction","2555 Luna Ave,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","3,372","5","4","$648,000","$659,880","Single Family","2019","No Data","No Data","Single Family","7,209 sqft","null","NA","null","null","{""targetDiv"":""gpt-ad-3acf922b-a783-4e0d-a062-e8cae1d0366b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2555 Luna Ave"",""bd"":""5"",""fsbid"":""11527"",""city"":""Tracy"",""proptp"":""sfh"",""pid"":""300277936"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""659880"",""sqft"":""3372"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/tracy/tracy-hills/pearl?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_tracy-hills-pearl"",""state"":""CA"",""mlong"":""-121.580915"",""cnty"":""Solano"",""prange"":""600-699k"",""zip"":""95377"",""mlat"":""37.707148"",""plid"":""28722516"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvk3logu9zov71000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""648000"",""premieragent"":""no"",""builderChatId"":""11527-822650"",""dma"":""35""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572917193-8205","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/658-N-L-St-Livermore-CA-94551/24935251_zpid/","Livermore, CA 94551","For sale","658 N L St,","2","https://www.zillow.com/livermore-ca/2_p/","","","","","","","794","2","1","$565,693","$570,000","Single Family","1943","No Data","None","Single Family","5,000 sqft","$2,510/mo","4","8","null","{""targetDiv"":""gpt-ad-2b363f10-d5bb-4f2a-8749-5c3222e5b7ef"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""658 N L St"",""bd"":""2"",""fsbid"":""15503"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""24935251"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6174182998693126726"",""sqftrange"":""500-999"",""price"":""570000"",""sqft"":""794"",""posting_url"":""https://www.rexhomes.com/listing/658-n-l-st"",""mlong"":""-121.774269"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94551"",""mlat"":""37.68824"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISm6zpzzdhejuw1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1940-1959"",""zestimate"":""565693"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917310-8276","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/333-Elvira-St-Livermore-CA-94550/24944414_zpid/","Livermore, CA 94550","For sale","333 Elvira St,","2","https://www.zillow.com/livermore-ca/2_p/","","","","","","","1,392","4","2","$813,686","$810,000","Single Family","1966","Forced air","Central","Single Family","6,499 sqft","$3,195/mo","8","8","8","{""targetDiv"":""gpt-ad-b9cbab35-bc5c-4fd8-8a0f-cf2986ab761f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""333 Elvira St"",""bd"":""4"",""fsbid"":""14224"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""24944414"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""2690338732299572363"",""sqftrange"":""1000-1499"",""price"":""810000"",""sqft"":""1392"",""posting_url"":"""",""mlong"":""-121.798419"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94550"",""mlat"":""37.673321"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfg929yrftj6d0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""813686"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917174-8193","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/1145-Riviera-Ct-Livermore-CA-94551/24953685_zpid/","Livermore, CA 94551","For sale","1145 Riviera Ct,","","","3","https://www.zillow.com/livermore-ca/3_p/","","","","","2,141","4","3","$966,392","$950,000","Single Family","1998","Forced air","Central","Single Family","5,501 sqft","$3,600/mo","7","7","8","{""targetDiv"":""gpt-ad-dc025097-3257-491a-8a40-3c354b4118e2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1145 Riviera Ct"",""bd"":""4"",""fsbid"":""14106"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""24953685"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-5276102090273551985"",""sqftrange"":""2000-2499"",""price"":""950000"",""sqft"":""2141"",""posting_url"":"""",""mlong"":""-121.721477"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94551"",""mlat"":""37.716339"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvomyum6qrjpf0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1990-1999"",""zestimate"":""966392"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572917385-8323","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/2915-S-Vasco-Rd-Livermore-CA-94550/299078339_zpid/","Livermore, CA 94550","For sale","2915 S Vasco Rd,","","","","","","","","","2,619","3","3","$1,834,293","$1,850,000","Single Family","1953","Forced air","Central","Single Family","11.85 acres","$3,995/mo","6","6","8","{""targetDiv"":""gpt-ad-aec6e38e-634c-49c1-9961-db4801c2dd7c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2915 S Vasco Rd"",""bd"":""3"",""fsbid"":""14311"",""city"":""Livermore"",""proptp"":""sfh"",""pid"":""299078339"",""lot"":""9"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-3886739997306089011"",""sqftrange"":""2500-2999"",""price"":""1850000"",""sqft"":""2619"",""posting_url"":"""",""mlong"":""-121.719326"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94550"",""mlat"":""37.666888"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfgt90wkv5kkv0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1834293"",""premieragent"":""no""}}","null","null","null","null","","","","","","","",""
"1572916587-7829","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/6812-Spanner-Ct-Tracy-CA-95377/300277602_zpid/","Tracy, CA 95377","New construction","6812 Spanner Ct,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","2,552","3","3","$641,452","$655,000","Single Family","2019","No Data","No Data","Single Family","6,805 sqft","null","NA","null","null","{""targetDiv"":""gpt-ad-414ee5f7-232b-4fc8-aeef-f8854e113e0b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6812 Spanner Ct"",""bd"":""3"",""fsbid"":""13022"",""city"":""Tracy"",""proptp"":""sfh"",""pid"":""300277602"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""655000"",""sqft"":""2552"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/tracy/vente-at-tracy-hills/plan-1/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=542759&nhf_listing_type=plan&utm_term=plan_Plan1&utm_campaign=Tracy%2FCA"",""state"":""CA"",""mlong"":""-121.580915"",""cnty"":""San_Joaquin"",""prange"":""600-699k"",""zip"":""95377"",""mlat"":""37.707148"",""plid"":""14141846"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj71pv7ftmvh61000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""641452"",""premieragent"":""no"",""builderChatId"":""13022-807134"",""dma"":""35""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572916745-7930","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/865-Tranquility-Cir-UNIT-12-Livermore-CA-94551/2082251483_zpid/","Livermore, CA 94551","New construction","865 Tranquility Cir UNIT 12,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","1,300","2","3","$684,631","$679,665","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","6","4","8","{""targetDiv"":""gpt-ad-88fb1d68-d1f6-475f-a7e8-d66c1bb2aab5"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 12"",""aamgnrc1"":""865 Tranquility Cir"",""bd"":""2"",""fsbid"":""13022"",""city"":""Livermore"",""proptp"":""twn"",""pid"":""2082251483"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""679665"",""sqft"":""1300"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/livermore/synergy-at-sage/plan-3/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=522733&nhf_listing_type=plan&utm_term=plan_Plan3&utm_campaign=Livermore%2FCA"",""state"":""CA"",""mlong"":""-121.79223"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94551"",""mlat"":""37.70167"",""plid"":""4395"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrpw3xxd863781000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""684631"",""premieragent"":""no"",""builderChatId"":""13022-807133"",""dma"":""37""}}","null","null","null","null","","","","","","","",""
"1572916575-7819","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/3149-Tostalinda-Dr-Tracy-CA-95377/300278034_zpid/","Tracy, CA 95377","New construction","3149 Tostalinda Dr,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","2,565","4","4","$564,190","$575,950","Single Family","2019","No Data","No Data","Single Family","4,320 sqft","null","NA","null","null","{""targetDiv"":""gpt-ad-377262e5-52ca-44e4-bd36-7340e45abfbe"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3149 Tostalinda Dr"",""bd"":""4"",""fsbid"":""7796"",""city"":""Tracy"",""proptp"":""sfh"",""pid"":""300278034"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""575950"",""sqft"":""2565"",""posting_url"":""https://www.meritagehomes.com/state/ca/bay-area/vantage-at-tracy-hills/residence-3/3149-tostalinda-dr?utm_medium=listings&utm_source=zillow&nhf_channel=6&nhf_listing_id=800520&nhf_listing_type=home&utm_term=home_3149TostalindaDr.&utm_campaign=bay-area"",""state"":""CA"",""mlong"":""-121.580915"",""cnty"":""Contra_Costa"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95377"",""mlat"":""37.707148"",""plid"":""15628239"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfovwdmpxiirm1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""564190"",""premieragent"":""no"",""builderChatId"":""7796-818261"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572916591-7832","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/6831-Spanner-Ct-Tracy-CA-95377/300276235_zpid/","Tracy, CA 95377","New construction","6831 Spanner Ct,","","","","","","","5","https://www.zillow.com/livermore-ca/5_p/","3,311","4","4","$638,202","$655,000","Single Family","2019","No Data","No Data","Single Family","5,500 sqft","null","NA","null","null","{""targetDiv"":""gpt-ad-48b8331a-99d4-4e0e-807c-e4dc05646cee"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6831 Spanner Ct"",""bd"":""4"",""fsbid"":""13022"",""city"":""Tracy"",""proptp"":""sfh"",""pid"":""300276235"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""655000"",""sqft"":""3311"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/tracy/vente-at-tracy-hills/plan-2/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=542760&nhf_listing_type=plan&utm_term=plan_Plan2&utm_campaign=Tracy%2FCA"",""state"":""CA"",""mlong"":""-121.580915"",""cnty"":""Solano"",""prange"":""600-699k"",""zip"":""95377"",""mlat"":""37.707148"",""plid"":""14141846"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS376w2x7za61w1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""638202"",""premieragent"":""no"",""builderChatId"":""13022-807134"",""dma"":""35""}}","null","null","null","null","NEXT","https://www.zillow.com/livermore-ca/6_p/","","","","","",""
"1572916991-8079","https://www.zillow.com/homes/livermore-CA_rb/","","https://www.zillow.com/homedetails/0-San-Antonio-Valley-Rd-Mount-Hamilton-CA-95140/2114776949_zpid/","Mount Hamilton, CA 95140","Lot/land","0 San Antonio Valley Rd,","","","","","4","https://www.zillow.com/livermore-ca/4_p/","","","null","80 acres","null","null","$125,000","null","null","null","null","null","null","$2,875/mo","6","3","5","{""targetDiv"":""gpt-ad-4eca8f2f-34d8-4096-aefb-dfddef9fb5c4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95140"",""aamgnrc1"":""0 San Antonio Valley Rd"",""mlat"":""37.341216"",""bd"":""0"",""fsbid"":""14641"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7q71spg8sk510000000000.jpg"",""zusr"":""true"",""city"":""Mount_Hamilton"",""proptp"":""lot"",""pid"":""2114776949"",""lot"":""11"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8870802456252436053"",""premieragent"":""no"",""sqftrange"":""10000_and_up"",""price"":""125000"",""sqft"":""653400"",""posting_url"":""http://www.GusSaar.com"",""mlong"":""-121.436159"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null","","","","","","","",""
