web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899077-839","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/18886-Bonnet-Way-Saratoga-CA-95070/19654744_zpid/","Saratoga, CA 95070","For sale","18886 Bonnet Way,","","","2,194","4","3","$1,977,714","$1,999,995","Single Family","1975","Forced air","Central","Single Family","10,018 sqft","$5,095/mo","9","7","8","{""targetDiv"":""gpt-ad-f024edbc-be58-4f4c-ae84-7a2d5e408a3a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""18886 Bonnet Way"",""bd"":""4"",""fsbid"":""3020"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19654744"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""7911303252046278277"",""sqftrange"":""2000-2499"",""price"":""1999995"",""sqft"":""2194"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/148729?src=zillow"",""mlong"":""-122.000514"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95070"",""mlat"":""37.272408"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfzwi4i0hivb0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Fruitvale"",""yrblt"":""1970-1979"",""zestimate"":""1977714"",""premieragent"":""no""}}","null","null","null","null"
"1572899108-863","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/18737-Aspesi-Dr-Saratoga-CA-95070/19654798_zpid/","Saratoga, CA 95070","For sale","18737 Aspesi Dr,","","","1,789","4","2","$1,878,155","$1,850,000","Single Family","1959","Forced air","None","Single Family","0.43 acres","$4,500/mo","9","7","8","{""targetDiv"":""gpt-ad-aa852cc0-f80f-463f-917d-af60eb833f36"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""18737 Aspesi Dr"",""bd"":""4"",""fsbid"":""13698"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19654798"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-2254296747015001126"",""sqftrange"":""1500-1999"",""price"":""1850000"",""sqft"":""1789"",""posting_url"":"""",""mlong"":""-121.997225"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95070"",""mlat"":""37.270973"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbodhwlxzwwu1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Fruitvale"",""yrblt"":""1940-1959"",""zestimate"":""1878155"",""premieragent"":""no""}}","null","null","null","null"
"1572899099-854","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/14285-Saratoga-Ave-Saratoga-CA-95070/19658381_zpid/","Saratoga, CA 95070","For sale","14285 Saratoga Ave,","","","1,653","3","2","$2,277,353","$2,350,000","Single Family","1900","Forced air","Central","Single Family","1.01 acres","$3,600/mo","9","9","10","No Data","null","null","null","null"
"1572899229-973","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/18580-Cox-Ave-Saratoga-CA-95070/19654327_zpid/","Saratoga, CA 95070","For sale","18580 Cox Ave,","","","1,600","3","2","$1,622,857","$1,600,000","Single Family","1950","Forced air","Wall","Single Family","0.26 acres","$3,600/mo","7","7","8","{""targetDiv"":""gpt-ad-069274e0-068a-4dce-9b5d-759e6a80caa8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""18580 Cox Ave"",""bd"":""3"",""fsbid"":""13698"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19654327"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""1941826197181271707"",""sqftrange"":""1500-1999"",""price"":""1600000"",""sqft"":""1600"",""posting_url"":"""",""mlong"":""-121.99577"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95070"",""mlat"":""37.280355"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmbqgkqrm2dk0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Quito"",""yrblt"":""1940-1959"",""zestimate"":""1622857"",""premieragent"":""no""}}","null","null","null","null"
"1572899234-977","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/12799-Bach-Ct-Saratoga-CA-95070/19653516_zpid/","Saratoga, CA 95070","For sale","12799 Bach Ct,","","","2,288","3","2","$2,395,992","$2,338,000","Single Family","1971","Forced air","Central","Single Family","0.32 acres","$5,419/mo","9","9","10","{""targetDiv"":""gpt-ad-86f07e7f-7358-45a4-b086-6a3032e0a10c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""12799 Bach Ct"",""bd"":""3"",""fsbid"":""13698"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19653516"",""lot"":""3"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""8765925911304668716"",""sqftrange"":""2000-2499"",""price"":""2338000"",""sqft"":""2288"",""posting_url"":"""",""mlong"":""-122.01091"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""95070"",""mlat"":""37.282808"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3ekpgwcd5s40000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1970-1979"",""zestimate"":""2395992"",""premieragent"":""no""}}","null","null","null","null"
"1572899205-949","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/14311-Quito-Rd-Saratoga-CA-95070/19657397_zpid/","Saratoga, CA 95070","For sale","14311 Quito Rd,","","","4,667","4","5","null","$4,750,000","Single Family","1952","Forced air","Central","Single Family","1.62 acres","$10,932/mo","9","7","8","{""targetDiv"":""gpt-ad-1d0c0f83-e94a-4bde-91c4-84b9c55c6d97"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""14311 Quito Rd"",""bd"":""4"",""fsbid"":""4383"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19657397"",""lot"":""6"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-4623389462131680316"",""sqftrange"":""4500-4999"",""price"":""4750000"",""sqft"":""4667"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/saratoga/14311-quito-rd/pid_33307801/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.992873"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""95070"",""mlat"":""37.260602"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv82snr8lf9l80000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Fruitvale"",""yrblt"":""1940-1959"",""zestimate"":""4633566"",""premieragent"":""no""}}","null","null","null","null"
"1572899106-861","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/22580-Prospect-Rd-Cupertino-CA-95014/2084624001_zpid/","Cupertino, CA 95014","Lot/land","22580 Prospect Rd,","","","null","1.04 acres","null","None","$1,798,000","null","null","null","null","null","null","$3,174/mo","9","9","10","{""targetDiv"":""gpt-ad-4d0f6034-8d76-403e-8951-b11dabbc1954"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95014"",""aamgnrc1"":""22580 Prospect Rd"",""mlat"":""37.284573"",""bd"":""0"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7an2rsf7e99o0000000000.jpg"",""zusr"":""true"",""city"":""Cupertino"",""proptp"":""lot"",""pid"":""2084624001"",""lot"":""6"",""listtp"":""buy_agent"",""zguidh"":""-1299830655394490171"",""premieragent"":""no"",""price"":""1798000"",""posting_url"":""http://jamesmorrishomes.com/"",""mlong"":""-122.058493"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572899160-904","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/0-Mount-Eden-Rd-Saratoga-CA-95070/2082573108_zpid/","Saratoga, CA 95070","Lot/land","0 Mount Eden Rd,","","","null","1.13 acres","null","None","$1,500,000","null","null","null","null","null","null","$3,200/mo","9","9","10","{""targetDiv"":""gpt-ad-e7c35f10-82ef-475f-a53d-7d06a26341c7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95070"",""aamgnrc1"":""0 Mount Eden Rd"",""mlat"":""37.265423"",""bd"":""0"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdbzx2hpv6po1000000000.jpg"",""zusr"":""true"",""city"":""Saratoga"",""proptp"":""lot"",""pid"":""2082573108"",""lot"":""6"",""listtp"":""buy_agent"",""zguidh"":""3128866929001835720"",""premieragent"":""no"",""price"":""1500000"",""posting_url"":""http://homecoin.com"",""mlong"":""-122.053825"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572899101-856","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/17025-Mc-Gill-Rd-Saratoga-CA-95070/246246436_zpid/","Saratoga, CA 95070","Lot/land","17025 Mc Gill Rd,","","","null","9.85 acres","null","None","$988,888","null","null","null","null","null","null","$3,200/mo","9","9","10","{""targetDiv"":""gpt-ad-4e4d705b-4168-464e-ac70-970cf6758585"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95070"",""aamgnrc1"":""17025 Mc Gill Rd"",""mlat"":""37.220172"",""bd"":""0"",""fsbid"":""13698"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjnxs4c3uko520000000000.jpg"",""zusr"":""true"",""city"":""Saratoga"",""proptp"":""lot"",""pid"":""246246436"",""hood"":""Glen_Una"",""lot"":""8"",""listtp"":""buy_agent"",""zguidh"":""-9096184100541866697"",""premieragent"":""no"",""price"":""988888"",""posting_url"":""http://www.realtyweb.com"",""mlong"":""-122.036845"",""state"":""CA"",""prange"":""900-999k""}}","null","null","null","null"
"1572899224-969","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/18847-Biarritz-Ct-Saratoga-CA-95070/19654004_zpid/","Saratoga, CA 95070","For sale","18847 Biarritz Ct,","","","1,988","3","3","$1,671,610","$1,650,000","Townhouse","1986","Forced air","Central","Townhouse","2,866 sqft","$4,100/mo","7","7","8","{""targetDiv"":""gpt-ad-14493bec-6123-4a5d-942a-3dd51bd3928b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""18847 Biarritz Ct"",""bd"":""3"",""fsbid"":""15050"",""city"":""Saratoga"",""proptp"":""twn"",""pid"":""19654004"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-55218830644755439"",""sqftrange"":""1500-1999"",""price"":""1650000"",""sqft"":""1988"",""posting_url"":"""",""mlong"":""-121.999358"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95070"",""mlat"":""37.283499"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0l4iujow5ga0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Quito"",""yrblt"":""1980-1989"",""zestimate"":""1671610"",""premieragent"":""no""}}","null","null","null","null"
"1572899022-812","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/13335-Quito-Rd-Saratoga-CA-95070/19654701_zpid/","Saratoga, CA 95070","Pre-foreclosure","13335 Quito Rd,","2","https://www.zillow.com/saratoga-ca/2_p/","null","5","null","$1,912,209","$1,912,209","Single Family","1995","Forced air","Central","Single Family","10,018 sqft","null","9","7","8","{""targetDiv"":""gpt-ad-b3b08a72-4c91-47e4-b456-e2001b58d72b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""13335 Quito Rd"",""bd"":""5"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19654701"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""2768078167428703669"",""sqftrange"":""2500-2999"",""price"":""2303867"",""sqft"":""2752"",""posting_url"":"""",""mlong"":""-121.994484"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""95070"",""mlat"":""37.273923"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqhus4kmtnycb0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Quito"",""yrblt"":""1990-1999"",""zestimate"":""2303867"",""premieragent"":""no""}}","null","null","null","null"
"1572899054-825","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/19544-Glen-Una-Dr-Los-Gatos-CA-95030/19744555_zpid/","Los Gatos, CA 95030","For sale","19544 Glen Una Dr,","2","https://www.zillow.com/saratoga-ca/2_p/","1,153","3","2","$2,117,925","$2,198,000","Single Family","1949","Gas","None","Single Family","1.18 acres","$3,885/mo","9","9","10","{""targetDiv"":""gpt-ad-1d3999d2-00b8-4b50-b743-0e89bd0b54c7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""19544 Glen Una Dr"",""bd"":""3"",""fsbid"":""16701"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""19744555"",""lot"":""6"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5439581015006348677"",""sqftrange"":""1000-1499"",""price"":""2198000"",""sqft"":""1153"",""posting_url"":""http://www.tsegroup.com"",""mlong"":""-122.013944"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""95030"",""mlat"":""37.243263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3rdjdd7ji6zn0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Glen_Una"",""yrblt"":""1940-1959"",""zestimate"":""2117925"",""premieragent"":""no""}}","null","null","null","null"
"1572899186-930","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/20151-Guava-Ct-Saratoga-CA-95070/19653783_zpid/","Saratoga, CA 95070","For sale","20151 Guava Ct,","","","2,998","5","4","$3,156,481","$3,150,000","Single Family","1970","Forced air, Radiant","Central","Single Family","0.27 acres","$7,436/mo","9","9","10","{""targetDiv"":""gpt-ad-3d757050-1a86-4ced-8299-245d2961e5e3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""20151 Guava Ct"",""bd"":""5"",""fsbid"":""16701"",""city"":""Saratoga"",""proptp"":""sfh"",""pid"":""19653783"",""lot"":""3"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""5131501872153951654"",""sqftrange"":""2500-2999"",""price"":""3150000"",""sqft"":""2998"",""posting_url"":""http://www.jeffbadzik.com"",""mlong"":""-122.026027"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""95070"",""mlat"":""37.285866"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfciquwwr1r4x1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1970-1979"",""zestimate"":""3156481"",""premieragent"":""no""}}","null","null","null","null"
"1572899047-820","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/0-Cordwood-Ct-Saratoga-CA-95070/2092476055_zpid/","Saratoga, CA 95070","Lot/land","0 Cordwood Ct,","2","https://www.zillow.com/saratoga-ca/2_p/","null","1.2 acres","null","None","$1,499,000","null","null","null","null","null","null","$3,200/mo","9","7","8","No Data","null","null","null","null"
"1572899144-889","https://www.zillow.com/homes/saratoga-CA_rb/","","https://www.zillow.com/homedetails/14636-Fieldstone-Dr-Saratoga-CA-95070/19743017_zpid/","Saratoga, CA 95070","For sale","14636 Fieldstone Dr,","","","4,877","5","4","$3,435,395","$3,488,000","Townhouse","1977","Forced air","Central","Townhouse","2,308 sqft","$8,135/mo","9","9","10","{""targetDiv"":""gpt-ad-2b5dde4e-35be-4298-a78c-33e0b2b434ab"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""14636 Fieldstone Dr"",""bd"":""5"",""fsbid"":""15050"",""city"":""Saratoga"",""proptp"":""twn"",""pid"":""19743017"",""lot"":""1"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""7343856543792864153"",""sqftrange"":""4500-4999"",""price"":""3488000"",""sqft"":""4877"",""posting_url"":""http://www.coopergrouphomes.com"",""mlong"":""-122.03998"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""95070"",""mlat"":""37.257134"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf8vpb2yljuo70000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Congress_Springs"",""yrblt"":""1970-1979"",""zestimate"":""3435395"",""premieragent"":""no""}}","null","null","null","null"
