web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href,next_page13,next_page13-href,next_page14,next_page14-href,next_page15,next_page15-href,next_page16,next_page16-href,next_page17,next_page17-href,next_page18,next_page18-href,next_page19,next_page19-href,next_page20,next_page20-href
"1572906958-5930","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1667-Silver-Ave-San-Francisco-CA-94124/2128171278_zpid/","San Francisco, CA 94124","For sale","1667 Silver Ave,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","1,500","5","2","$1,156,495","$998,000","Single Family","1908","Forced air","Central","Single Family","2,770 sqft","$4,700/mo","1","4","9","{""targetDiv"":""gpt-ad-78d267a7-5f36-4dc0-ae4d-84cf812aafa6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1667 Silver Ave"",""bd"":""5"",""fsbid"":""14311"",""city"":""San_Francisco"",""proptp"":""sfh"",""pid"":""2128171278"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2953988590513402437"",""sqftrange"":""1500-1999"",""price"":""998000"",""sqft"":""1500"",""posting_url"":"""",""mlong"":""-122.404603"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94124"",""mlat"":""37.733267"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvsh5suck1hqf0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Silver_Terrace"",""yrblt"":""1900-1919"",""zestimate"":""1156495"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","","","","","","","","","","","","","","","","","","","","","","","",""
"1572905885-5068","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/137-Pierce-St-San-Francisco-CA-94117/119685511_zpid/","San Francisco, CA 94117","For sale","137 Pierce St,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","3","null","$1,757,167","$1,595,000","Condo","1909","Other","No Data","Condo","$531/month","$5,500/mo","7","6","NA","{""targetDiv"":""gpt-ad-744875a8-0b57-4898-9cc1-6ac36e9e4bf7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""137 Pierce St"",""bd"":""3"",""fsbid"":""14224"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""119685511"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-8377412664626285189"",""sqftrange"":""1500-1999"",""price"":""1595000"",""sqft"":""1750"",""posting_url"":"""",""mlong"":""-122.433998"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""94117"",""mlat"":""37.77121"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvs5wsbjtn79k1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Lower_Haight"",""yrblt"":""1900-1919"",""zestimate"":""1757167"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","NEXT","https://www.zillow.com/san-francisco-ca/14_p/","","","","","","","","","","","",""
"1572907379-6265","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1281-Vallejo-St-APT-2-San-Francisco-CA-94109/51082395_zpid/","San Francisco, CA 94109","For sale","1281 Vallejo St APT 2,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","2","null","$1,025,929","$925,000","Condo","1912","Radiant","Central","Condo","$608/month","$4,250/mo","9","7","8","{""targetDiv"":""gpt-ad-050ebcf2-c01c-4a57-a188-d10be693adcb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 2"",""aamgnrc1"":""1281 Vallejo St"",""bd"":""2"",""fsbid"":""14224"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""51082395"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2168677428982818087"",""sqftrange"":""500-999"",""price"":""925000"",""sqft"":""718"",""posting_url"":""http://www.teamdibachi.com"",""mlong"":""-122.418402"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94109"",""mlat"":""37.797238"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbkefo91065q0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Russian_Hill"",""yrblt"":""1900-1919"",""zestimate"":""1025929"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906198-5320","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/109-S-Lake-Merced-Hls-APT-3A-San-Francisco-CA-94132/15198505_zpid/","San Francisco, CA 94132","For sale","109 S Lake Merced Hls APT 3A,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","2","null","$827,183","$775,000","Condo","1975","No Data","No Data","Condo","$842/month","$4,200/mo","4","7","10","{""targetDiv"":""gpt-ad-ff3e65e5-f682-44c7-a82e-fb2d4b6baba2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 3A"",""aamgnrc1"":""109 S Lake Merced Hls"",""bd"":""2"",""fsbid"":""14073"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""15198505"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1618649841127272193"",""sqftrange"":""1000-1499"",""price"":""775000"",""sqft"":""1474"",""posting_url"":""http://www.garrisonprops.com"",""mlong"":""-122.483626"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94132"",""mlat"":""37.710057"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2blyt8kznvb51000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Lakeshore"",""yrblt"":""1970-1979"",""zestimate"":""827183"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","","","","","","","","","","","","","","","",""
"1572906637-5680","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/999-16th-St-APT-15-San-Francisco-CA-94107/80744633_zpid/","San Francisco, CA 94107","For sale","999 16th St APT 15,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","1","null","null","$1,295,000","Condo","1998","Other","No Data","Condo","No Data","$4,500/mo","3","3","2","{""targetDiv"":""gpt-ad-75d5cd9a-5fc6-45a4-992a-0b7ba3073c27"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 15"",""aamgnrc1"":""999 16th St"",""bd"":""1"",""fsbid"":""15910"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""80744633"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7520872104833753034"",""sqftrange"":""1000-1499"",""price"":""1295000"",""sqft"":""1481"",""posting_url"":""https://climbre.com/displet-property-redirect/124002059/"",""mlong"":""-122.396558"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94107"",""mlat"":""37.766197"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfgx4fvzqwug01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Potrero_Hill"",""yrblt"":""1990-1999"",""zestimate"":""1365743"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","","","","","","","","","","","","","","","","","","","",""
"1572906104-5246","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/795-8th-Ave-APT-306-San-Francisco-CA-94118/15098843_zpid/","San Francisco, CA 94118","For sale","795 8th Ave APT 306,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","672","1","1","$774,827","$749,000","Condo","1996","No Data","No Data","Condo","$548/month","$3,495/mo","7","9","3","{""targetDiv"":""gpt-ad-a5a927b6-9b49-43ba-a9c1-c50bbbcdd9ce"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 306"",""aamgnrc1"":""795 8th Ave"",""bd"":""1"",""fsbid"":""13753"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""15098843"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""1483011605964256306"",""sqftrange"":""500-999"",""price"":""749000"",""sqft"":""672"",""posting_url"":""https://www.pacificunion.com/real-estate/795-8th-avenue-306-san-francisco-ca-94118/490356/78288322"",""mlong"":""-122.466252"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94118"",""mlat"":""37.773638"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7m4waxbuoymj1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Inner_Richmond"",""yrblt"":""1990-1999"",""zestimate"":""774827"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","","","","","","","","","","","","","",""
"1572904461-3873","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/412-Bosworth-St-A-San-Francisco-CA-94112/114314097_zpid/","San Francisco, CA 94112","For sale","412 Bosworth St # A,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","5","null","$1,885,317","$1,795,000","Condo","2011","Forced air","Central","Condo","$330/month","$6,000/mo","4","3","2","{""targetDiv"":""gpt-ad-a96fe3ff-93d1-4a51-81da-bb0474d622a2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" A"",""aamgnrc1"":""412 Bosworth St"",""bd"":""5"",""fsbid"":""14073"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""114314097"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-8785082883884987008"",""sqftrange"":""3000-3499"",""price"":""1795000"",""sqft"":""3156"",""posting_url"":""http://WelcomeHomeSF.com"",""mlong"":""-122.430716"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94112"",""mlat"":""37.733491"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfc2m0m7hqqro0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""St._Marys_Park"",""yrblt"":""2010-2019"",""zestimate"":""1885317"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","NEXT","https://www.zillow.com/san-francisco-ca/14_p/","NEXT","https://www.zillow.com/san-francisco-ca/15_p/","NEXT","https://www.zillow.com/san-francisco-ca/16_p/","NEXT","https://www.zillow.com/san-francisco-ca/17_p/","NEXT","https://www.zillow.com/san-francisco-ca/18_p/","NEXT","https://www.zillow.com/san-francisco-ca/19_p/","NEXT","https://www.zillow.com/san-francisco-ca/20_p/"
"1572905569-4822","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/community/lumina/2086110487_zpid/","San Francisco, CA 94105","New construction","Buildable plan: Penthouse D36A, LUMINA,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","3,770","3","4.5","$7,210,654","$7,375,000","Condo","2019","No Data","No Data","Condo","No Data","null","3","3","NA","{""targetDiv"":""gpt-ad-377277c6-5767-48cb-b47f-8ea57dc78e4e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" S6SW3B"",""aamgnrc1"":""201 Folsom St"",""bd"":""3"",""fsbid"":""14860"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""2086110487"",""zestibuck"":""7m-7_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""7375000"",""sqft"":""3770"",""posting_url"":""http://luminasf.com?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=19039&nhf_listing_type=community&utm_term=comm_LUMINA&utm_campaign=San+Francisco%2FCA"",""state"":""CA"",""mlong"":""-122.392211"",""cnty"":""San_Francisco"",""prange"":""7m-7_999m"",""zip"":""94105"",""mlat"":""37.789077"",""plid"":""27731"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISij2ykak6aa960000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""Rincon_Hill"",""yrblt"":""2010-2019"",""zestimate"":""7210654"",""premieragent"":""no"",""builderChatId"":""14860-765375"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","NEXT","https://www.zillow.com/san-francisco-ca/14_p/","NEXT","https://www.zillow.com/san-francisco-ca/15_p/","","","","","","","","","",""
"1572907714-6486","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1946-30th-Ave-San-Francisco-CA-94116/15114487_zpid/","San Francisco, CA 94116","For sale","1946 30th Ave,","","","","","4","https://www.zillow.com/san-francisco-ca/4_p/","","","1,752","4","3","$1,654,486","$1,399,950","Single Family","1940","Forced air","None","Single Family","2,996 sqft","$5,000/mo","10","10","8","{""targetDiv"":""gpt-ad-b4f6cf39-6230-4e7f-87fc-40bcda246a89"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1946 30th Ave"",""bd"":""4"",""fsbid"":""16701"",""city"":""San_Francisco"",""proptp"":""sfh"",""pid"":""15114487"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-2021573832312995330"",""sqftrange"":""1500-1999"",""price"":""1399950"",""sqft"":""1752"",""posting_url"":""http://www.alanalamrealtor.com"",""mlong"":""-122.487735"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94116"",""mlat"":""37.750973"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfkklicyinhnq0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Parkside"",""yrblt"":""1940-1959"",""zestimate"":""1654486"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906134-5271","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2352-Lombard-St-San-Francisco-CA-94123/241583313_zpid/","San Francisco, CA 94123","Pre-foreclosure","2352 Lombard St,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","2,225","2","2","null","null","Miscellaneous","1923","No Data","No Data","Miscellaneous","null","null","10","8","null","{""targetDiv"":""gpt-ad-1f1291e5-601e-4efd-b0f2-2fcd9dc40225"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94123"",""aamgnrc1"":""2352 Lombard St"",""mlat"":""37.799631"",""bd"":""2"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""San_Francisco"",""pid"":""241583313"",""hood"":""Marina"",""yrblt"":""1920-1939"",""lot"":""1"",""listtp"":""buy_foreclosure"",""zguidh"":""-3974697352567099703"",""premieragent"":""no"",""sqftrange"":""2000-2499"",""sqft"":""2225"",""posting_url"":"""",""mlong"":""-122.440312"",""state"":""CA""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","","","","","","","","","","","","","","","",""
"1572905134-4466","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2339-Jones-St-San-Francisco-CA-94133/2083853673_zpid/","San Francisco, CA 94133","For sale","2339 Jones St,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","--","null","null","$2,499,999","Single Family","1917","No Data","No Data","Single Family","3,746 sqft","$5,400/mo","9","7","8","{""targetDiv"":""gpt-ad-1eb5df92-8644-4e60-9a0e-31f707bd6ecf"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2339 Jones St"",""bd"":""0"",""fsbid"":""4398"",""city"":""San_Francisco"",""proptp"":""sfh"",""pid"":""2083853673"",""lot"":""1"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-8547262415512928763"",""sqftrange"":""3000-3499"",""price"":""2499999"",""sqft"":""3150"",""posting_url"":""https://www.sothebyshomes.com/sanfrancisco/sales/00810044-2339-Jones-St-San-Francisco-CA-94133?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.416787"",""state"":""CA"",""prange"":""2-2_499m"",""zip"":""94133"",""mlat"":""37.802926"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISes6ku82g1kfk1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Russian_Hill"",""yrblt"":""1900-1919"",""zestimate"":""2557543"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","NEXT","https://www.zillow.com/san-francisco-ca/14_p/","NEXT","https://www.zillow.com/san-francisco-ca/15_p/","NEXT","https://www.zillow.com/san-francisco-ca/16_p/","NEXT","https://www.zillow.com/san-francisco-ca/17_p/","","","","","",""
"1572905201-4520","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/202-Union-St-San-Francisco-CA-94133/184663673_zpid/","San Francisco, CA 94133","Lot/land","202 Union St,","","","","","","","5","https://www.zillow.com/san-francisco-ca/5_p/","null","1,467 sqft","null","None","$500,000","null","null","null","null","null","null","$3,600/mo","8","7","8","{""targetDiv"":""gpt-ad-c6c95936-a86f-41d7-b3b0-407ff54ae06d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94133"",""aamgnrc1"":""202 Union St"",""mlat"":""37.801393"",""bd"":""0"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1zoi5ric8bv1000000000.jpg"",""zusr"":""true"",""city"":""San_Francisco"",""proptp"":""lot"",""pid"":""184663673"",""hood"":""Telegraph_Hill"",""lot"":""1"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""4702471000542862608"",""premieragent"":""no"",""price"":""500000"",""posting_url"":""http://www.anthonykoutsos.com/"",""mlong"":""-122.403051"",""state"":""CA"",""prange"":""500-599k""}}","null","null","null","null","NEXT","https://www.zillow.com/san-francisco-ca/6_p/","NEXT","https://www.zillow.com/san-francisco-ca/7_p/","NEXT","https://www.zillow.com/san-francisco-ca/8_p/","NEXT","https://www.zillow.com/san-francisco-ca/9_p/","NEXT","https://www.zillow.com/san-francisco-ca/10_p/","NEXT","https://www.zillow.com/san-francisco-ca/11_p/","NEXT","https://www.zillow.com/san-francisco-ca/12_p/","NEXT","https://www.zillow.com/san-francisco-ca/13_p/","NEXT","https://www.zillow.com/san-francisco-ca/14_p/","NEXT","https://www.zillow.com/san-francisco-ca/15_p/","NEXT","https://www.zillow.com/san-francisco-ca/16_p/","NEXT","https://www.zillow.com/san-francisco-ca/17_p/","","","","","",""
"1572908215-6790","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1210-40th-Ave-San-Francisco-CA-94122/15101200_zpid/","San Francisco, CA 94122","For sale","1210 40th Ave,","2","https://www.zillow.com/san-francisco-ca/2_p/","","","","","","","null","2","null","$1,444,355","$1,100,000","Single Family","1925","No Data","No Data","Single Family","2,064 sqft","$3,950/mo","9","10","8","{""targetDiv"":""gpt-ad-a83662de-09e7-497c-9549-6ad2ae778a39"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1210 40th Ave"",""bd"":""2"",""fsbid"":""14073"",""city"":""San_Francisco"",""proptp"":""sfh"",""pid"":""15101200"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""589675526488445876"",""sqftrange"":""1000-1499"",""price"":""1100000"",""oh"":""yes"",""sqft"":""1225"",""posting_url"":""http://www.hatchrealtygroup.com"",""mlong"":""-122.499475"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94122"",""mlat"":""37.764163"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3j7tedlbdzgm0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Outer_Sunset"",""yrblt"":""1920-1939"",""zestimate"":""1444355"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572908274-6818","https://www.zillow.com/homes/san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1215-17th-Ave-1-San-Francisco-CA-94122/52884777_zpid/","San Francisco, CA 94122","For sale","1215 17th Ave # 1,","2","https://www.zillow.com/san-francisco-ca/2_p/","","","","","","","null","3","null","$1,552,419","$1,375,000","Condo","2000","Forced air","Central","Condo","$250/month","$4,080/mo","8","10","3","{""targetDiv"":""gpt-ad-67be06f8-7c0f-4102-962a-b6cdea526ef2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 1"",""aamgnrc1"":""1215 17th Ave"",""bd"":""3"",""fsbid"":""14073"",""city"":""San_Francisco"",""proptp"":""cnd"",""pid"":""52884777"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-9010797873527467144"",""sqftrange"":""1000-1499"",""price"":""1375000"",""oh"":""yes"",""sqft"":""1486"",""posting_url"":"""",""mlong"":""-122.475414"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94122"",""mlat"":""37.765091"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrdrrmh80nfl60000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Inner_Sunset"",""yrblt"":""2000-2009"",""zestimate"":""1552419"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
