web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572903909-3572","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/358-Starfish-Dr-Vallejo-CA-94591/15673712_zpid/","Vallejo, CA 94591","For sale","358 Starfish Dr,","","","","","4","https://www.zillow.com/vallejo-ca/4_p/","","","1,801","3","2","null","$497,500","Single Family","1989","Other","No Data","Single Family","6,969 sqft","$2,675/mo","3","1","3","{""targetDiv"":""gpt-ad-2b5ef584-44fe-4937-8c90-943fea77302d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""358 Starfish Dr"",""bd"":""3"",""fsbid"":""2877"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15673712"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""7482397072208942004"",""sqftrange"":""1500-1999"",""price"":""497500"",""sqft"":""1801"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBJJFZLF/"",""mlong"":""-122.219885"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94591"",""mlat"":""38.074414"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrxm99eokr90u1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Glen_Cove"",""yrblt"":""1980-1989"",""zestimate"":""499042"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903944-3584","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/1306-Valle-Vista-Ave-Vallejo-CA-94589/15654887_zpid/","Vallejo, CA 94589","Pre-foreclosure","1306 Valle Vista Ave,","","","","","4","https://www.zillow.com/vallejo-ca/4_p/","","","1,912","4","2","$440,481","$440,481","Single Family","1960","Other","No Data","Single Family","5,662 sqft","null","1","2","2","{""targetDiv"":""gpt-ad-431d1be6-314e-44ac-876f-bb8c93d03698"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1306 Valle Vista Ave"",""bd"":""4"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15654887"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_foreclosure"",""zguidh"":""1611872520347537211"",""sqftrange"":""1500-1999"",""price"":""400000"",""sqft"":""1912"",""posting_url"":"""",""mlong"":""-122.235202"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94589"",""mlat"":""38.127944"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISaleyb954puus1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Richardson_Park"",""yrblt"":""1960-1969"",""zestimate"":""473636"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904602-4016","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/community/skyline/2086890496_zpid/","Vallejo, CA 94591","New construction","Buildable plan: Plan 4, Skyline,","","","","","","","","","2,699","5","3","$656,294","$681,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","1","3","{""targetDiv"":""gpt-ad-5673b8f2-34d0-4e85-8baa-308277a998f6"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" J04YGB"",""aamgnrc1"":""8907 Brookside Dr"",""bd"":""5"",""fsbid"":""13081"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""2086890496"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""681000"",""sqft"":""2699"",""posting_url"":""https://www.kbhome.com/new-homes-north-bay-central-valley/skyline/plan-4?utm_medium=listing&utm_source=zillowgroup&nhf_channel=6&nhf_listing_id=464885&nhf_listing_type=plan&utm_term=plan_Plan4&utm_campaign=Vallejo%2FCA&utm_floorPlanID=00640516-245.2873"",""state"":""CA"",""mlong"":""-122.191207"",""cnty"":""Solano"",""prange"":""600-699k"",""zip"":""94591"",""mlat"":""38.094447"",""plid"":""16539221"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2voa18iwu3pi1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Somerset_Highlands"",""yrblt"":""2010-2019"",""zestimate"":""656294"",""premieragent"":""no"",""builderChatId"":""13081-805078"",""dma"":""35""}}","null","null","null","null","","","","","",""
"1572903672-3400","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/508-San-Luis-Dr-VA-Vallejo-CA-94590/2086720913_zpid/","Vallejo, CA 94590","For sale by owner","508 San Luis Dr # VA,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","630","1","1","null","$70,000","Mobile / Manufactured","1964","Forced air","Wall","Mobile / Manufactured","$111","$1,579/mo","4","1","2","{""targetDiv"":""gpt-ad-0c4fb0c7-d696-4b10-baab-f8af999b3108"",""slot"":""zillow/property_details/buy_owner/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" VA"",""aamgnrc1"":""508 San Luis Dr"",""bd"":""1"",""city"":""Vallejo"",""proptp"":""mm"",""pid"":""2086720913"",""lot"":""1"",""zestibuck"":""200-249k"",""listtp"":""buy_owner"",""stale"":""yes"",""zguidh"":""3707450303898795976"",""sqftrange"":""500-999"",""price"":""70000"",""sqft"":""630"",""posting_url"":"""",""mlong"":""-122.232655"",""state"":""CA"",""prange"":""0-100k"",""zip"":""94590"",""mlat"":""38.088237"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6umzni20fh1d0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""South_Vallejo"",""yrblt"":""1960-1969"",""zestimate"":""234244"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","","","",""
"1572903166-2995","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/Heather-Ct-Vallejo-CA-94591/249494321_zpid/","Vallejo, CA 94591","Off market","Heather Ct,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","4","null","$545,000","null","Single Family","1984","Other","No Data","Single Family","0.3 acres","null","5","3","null","{""targetDiv"":""gpt-ad-bf835cae-8c8a-4e7d-becd-296ecfa194b6"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94591"",""aamgnrc1"":""Heather Ct"",""mlat"":""38.11315"",""bd"":""4"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""VALLEJO"",""proptp"":""sfh"",""pid"":""249494321"",""hood"":""Heather_Ridge"",""yrblt"":""1980-1989"",""lot"":""3"",""listtp"":""buy_foreclosure"",""zguidh"":""9203921894974105246"",""premieragent"":""no"",""sqftrange"":""2500-2999"",""sqft"":""2748"",""posting_url"":"""",""mlong"":""-122.20227"",""state"":""CA"",""park"":""yes""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","NEXT","https://www.zillow.com/vallejo-ca/7_p/","NEXT","https://www.zillow.com/vallejo-ca/8_p/"
"1572904667-4078","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/8420-Bennington-Ct-Vallejo-CA-94591/69028081_zpid/","Vallejo, CA 94591","For sale","8420 Bennington Ct,","","","","","","","","","2,245","4","3","$535,100","$535,000","Single Family","2005","Other","Central","Single Family","3,049 sqft","$2,895/mo","2","2","3","{""targetDiv"":""gpt-ad-32e9ce2e-7513-4e14-8a8e-23987eda09b7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""8420 Bennington Ct"",""bd"":""4"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""69028081"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-2092701084674076287"",""sqftrange"":""2000-2499"",""price"":""535000"",""sqft"":""2245"",""posting_url"":""http://greathomes.org/mls/property/21927488"",""mlong"":""-122.187812"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94591"",""mlat"":""38.159191"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvouwungqbzpm1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Hiddenbrooke"",""yrblt"":""2000-2009"",""zestimate"":""535100"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903429-3212","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/264-Darley-Dr-Vallejo-CA-94591/15676853_zpid/","Vallejo, CA 94591","Pre-foreclosure / auction","264 Darley Dr,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","4","null","$526,132","$526,132","Single Family","1984","Other","No Data","Single Family","7,840 sqft","null","5","3","null","{""targetDiv"":""gpt-ad-64a90a96-5e01-4995-b5cd-c899e8d44657"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""264 Darley Dr"",""bd"":""4"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15676853"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""-8991675006338115836"",""sqftrange"":""2500-2999"",""price"":""565734"",""sqft"":""2627"",""posting_url"":"""",""mlong"":""-122.212747"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94591"",""mlat"":""38.122218"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""hood"":""Hunter_Ranch"",""yrblt"":""1980-1989"",""zestimate"":""565734"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","NEXT","https://www.zillow.com/vallejo-ca/7_p/","",""
"1572904612-4025","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/101-Jennifer-Ct-Vallejo-CA-94591/15677602_zpid/","Vallejo, CA 94591","For sale","101 Jennifer Ct,","","","","","","","","","1,553","3","2","$454,936","$450,000","Single Family","1980","Other","Central","Single Family","8,276 sqft","$2,450/mo","5","3","null","{""targetDiv"":""gpt-ad-bfbdec62-2e75-4fb2-80d7-e78e0fb82663"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""101 Jennifer Ct"",""bd"":""3"",""fsbid"":""14311"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15677602"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-336962318449322538"",""sqftrange"":""1500-1999"",""price"":""450000"",""sqft"":""1553"",""posting_url"":"""",""mlong"":""-122.211206"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94591"",""mlat"":""38.115595"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrrjiix8yey50000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Heather_Ridge"",""yrblt"":""1980-1989"",""zestimate"":""454936"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903645-3379","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/45-Baldwin-St-Vallejo-CA-94590/15689838_zpid/","Vallejo, CA 94590","Pre-foreclosure / auction","45 Baldwin St,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","3","null","$202,511","$202,511","Condo","1977","Other","No Data","Condo","$278/month","null","2","2","null","{""targetDiv"":""gpt-ad-1039379e-2c0f-4beb-8d54-0d9072e70891"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""45 Baldwin St"",""bd"":""3"",""city"":""Vallejo"",""proptp"":""cnd"",""pid"":""15689838"",""lot"":""1"",""zestibuck"":""200-249k"",""listtp"":""buy_foreclosure"",""zguidh"":""-7575424717206182664"",""sqftrange"":""500-999"",""price"":""217754"",""sqft"":""988"",""posting_url"":"""",""mlong"":""-122.26459"",""state"":""CA"",""prange"":""200-249k"",""zip"":""94590"",""mlat"":""38.122999"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z200"",""hood"":""vallejo_heights"",""yrblt"":""1970-1979"",""zestimate"":""217754"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","","","",""
"1572903973-3597","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/46-Greenfield-Ave-Vallejo-CA-94590/111930137_zpid/","Vallejo, CA 94590","For sale","46 Greenfield Ave,","","","","","4","https://www.zillow.com/vallejo-ca/4_p/","","","2,184","4","2","$710,334","$729,000","Single Family","1939","None","None","Single Family","5,662 sqft","$2,700/mo","3","1","2","{""targetDiv"":""gpt-ad-403ada6d-cb24-473f-ac42-e119df09035d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""46 Greenfield Ave"",""bd"":""4"",""fsbid"":""9318"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""111930137"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-3499591632033929238"",""sqftrange"":""2000-2499"",""price"":""729000"",""sqft"":""2184"",""posting_url"":""http://www.windermere.com/listing/99241249"",""mlong"":""-122.237344"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94590"",""mlat"":""38.11948"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbxborwb8i5sc0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Vista"",""yrblt"":""1920-1939"",""zestimate"":""710334"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903298-3109","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/606-Sonoma-Blvd-Vallejo-CA-94590/15660369_zpid/","Vallejo, CA 94590","Pre-foreclosure","606 Sonoma Blvd,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","3","null","$364,508","$364,508","Single Family","2003","Other","No Data","Single Family","6,000 sqft","null","4","1","2","{""targetDiv"":""gpt-ad-6d6af659-d6a0-4390-8cb4-9336924a6e87"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""606 Sonoma Blvd"",""bd"":""3"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15660369"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""-1157230336211665283"",""sqftrange"":""1000-1499"",""price"":""391945"",""sqft"":""1148"",""posting_url"":"""",""mlong"":""-122.242079"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94590"",""mlat"":""38.086766"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z300"",""hood"":""South_Vallejo"",""yrblt"":""2000-2009"",""zestimate"":""391945"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","NEXT","https://www.zillow.com/vallejo-ca/7_p/","",""
"1572904591-4006","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/2221-Georgia-St-Vallejo-CA-94590/15659824_zpid/","Vallejo, CA 94590","For sale","2221 Georgia St,","","","","","","","","","2,402","5","3","$375,243","$370,000","Single Family","1956","Other","No Data","Single Family","6,534 sqft","$2,250/mo","2","1","2","{""targetDiv"":""gpt-ad-18697a8c-680a-4763-8992-e5c06d15171a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2221 Georgia St"",""bd"":""5"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15659824"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""1966407455463354736"",""sqftrange"":""2000-2499"",""price"":""370000"",""sqft"":""2402"",""posting_url"":""http://greathomes.org/mls/property/21927716"",""mlong"":""-122.232165"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94590"",""mlat"":""38.10056"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz7cij7s9nvvl1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Old_City_Vallejo"",""yrblt"":""1940-1959"",""zestimate"":""375243"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904581-3996","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/181-Richardson-Dr-Vallejo-CA-94589/15653951_zpid/","Vallejo, CA 94589","For sale","181 Richardson Dr,","","","","","","","","","1,101","3","2","$396,926","$394,900","Single Family","1973","Forced air","No Data","Single Family","5,227 sqft","$2,041/mo","1","2","2","{""targetDiv"":""gpt-ad-0206e796-1dba-4e3d-9549-2fa2f5ea3bfc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""181 Richardson Dr"",""bd"":""3"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15653951"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""-2021270655649919630"",""sqftrange"":""1000-1499"",""price"":""394900"",""sqft"":""1101"",""posting_url"":""http://greathomes.org/mls/property/21927613"",""mlong"":""-122.247875"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94589"",""mlat"":""38.130147"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz3p1498cdsd00000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Richardson_Park"",""yrblt"":""1970-1979"",""zestimate"":""396926"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904535-3951","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/101-Spinnaker-Way-Vallejo-CA-94590/15660944_zpid/","Vallejo, CA 94590","For sale","101 Spinnaker Way,","","","","","","","","","1,796","4","2","$549,004","$549,000","Single Family","1980","Forced air","No Data","Single Family","3,484 sqft","$2,695/mo","4","1","2","{""targetDiv"":""gpt-ad-04e6407e-8a3b-4bde-b6b4-c000e5303f46"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""101 Spinnaker Way"",""bd"":""4"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15660944"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""1476636388849719225"",""sqftrange"":""1500-1999"",""price"":""549000"",""sqft"":""1796"",""posting_url"":""http://greathomes.org/mls/property/21927325"",""mlong"":""-122.236251"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94590"",""mlat"":""38.072716"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnehlaur4xq740000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""South_Vallejo"",""yrblt"":""1980-1989"",""zestimate"":""549004"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903586-3332","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/299-Whale-Bone-Ct-Vallejo-CA-94591/15692459_zpid/","Vallejo, CA 94591","For sale","299 Whale Bone Ct,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","1,092","2","1","$310,478","$310,000","Condo","1986","Other","No Data","Condo","$341/month","$1,975/mo","4","1","3","{""targetDiv"":""gpt-ad-8d9e84b3-2281-45bb-baab-0cf681574f6e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""299 Whale Bone Ct"",""bd"":""2"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""cnd"",""pid"":""15692459"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""8234245951271884078"",""sqftrange"":""1000-1499"",""price"":""310000"",""sqft"":""1092"",""posting_url"":""http://greathomes.org/mls/property/21923528"",""mlong"":""-122.197644"",""state"":""CA"",""park"":""yes"",""prange"":""300-349k"",""zip"":""94591"",""mlat"":""38.084207"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrl50hol8ipa31000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Granada_Heights"",""yrblt"":""1980-1989"",""zestimate"":""310478"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","","","",""
"1572903393-3186","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/225-Cassady-St-Vallejo-CA-94590/15658884_zpid/","Vallejo, CA 94590","Auction","225 Cassady St,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","2","null","null","$340,998","Single Family","1928","Forced air","Central, Other","Single Family","4,791 sqft","$1,850/mo","3","1","2","{""targetDiv"":""gpt-ad-7e7f44c5-f194-4942-985d-90bd561a6f4a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""225 Cassady St"",""bd"":""2"",""fsbid"":""13438"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15658884"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""stale"":""yes"",""zguidh"":""3645246093632672436"",""sqftrange"":""500-999"",""sqft"":""952"",""posting_url"":""https://www.hudsonandmarshall.com/property-details/225-cassady-street-vallejo-94590-ca-united-states?utm_source=Zillow&utm_medium=Listing&utm_campaign=Zillow%20Feed"",""mlong"":""-122.239372"",""state"":""CA"",""park"":""yes"",""zip"":""94590"",""mlat"":""38.107204"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS27i1n5k4yjc21000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Old_City_Vallejo"",""yrblt"":""1920-1939"",""zestimate"":""366665"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","NEXT","https://www.zillow.com/vallejo-ca/7_p/","",""
"1572903441-3221","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/2424-Tennessee-St-Vallejo-CA-94591/15667040_zpid/","Vallejo, CA 94591","Pre-foreclosure","2424 Tennessee St,","","","","","","","5","https://www.zillow.com/vallejo-ca/5_p/","null","4","null","$423,109","$423,109","Single Family","1954","Forced air","No Data","Single Family","4,791 sqft","null","5","4","3","{""targetDiv"":""gpt-ad-960a6576-31ec-467d-add5-8915c62f0250"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94591"",""aamgnrc1"":""2424 Tennessee St"",""mlat"":""38.109892"",""bd"":""4"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISuoq5j9nbyp530000000000.jpg"",""zusr"":""true"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15667040"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""454956"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_foreclosure"",""zguidh"":""1639422906966608780"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""439000"",""sqft"":""1152"",""posting_url"":"""",""mlong"":""-122.223483"",""state"":""CA"",""prange"":""400-449k""}}","null","null","null","null","NEXT","https://www.zillow.com/vallejo-ca/6_p/","NEXT","https://www.zillow.com/vallejo-ca/7_p/","",""
"1572904586-4000","https://www.zillow.com/homes/vallejo-CA_rb/","","https://www.zillow.com/homedetails/564-Jennings-Ave-Vallejo-CA-94591/15669408_zpid/","Vallejo, CA 94591","For sale","564 Jennings Ave,","","","","","","","","","1,035","2","1","$395,526","$390,000","Single Family","1941","None","None","Single Family","4,791 sqft","$1,960/mo","2","1","3","{""targetDiv"":""gpt-ad-b6499f76-3f55-48a2-9fd2-2b5d579063f6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""564 Jennings Ave"",""bd"":""2"",""fsbid"":""13601"",""city"":""Vallejo"",""proptp"":""sfh"",""pid"":""15669408"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""-3182057424767165758"",""sqftrange"":""1000-1499"",""price"":""390000"",""sqft"":""1035"",""posting_url"":""http://greathomes.org/mls/property/21926470"",""mlong"":""-122.226478"",""state"":""CA"",""prange"":""350-399k"",""zip"":""94591"",""mlat"":""38.097295"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bh3rmv4j6k31000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Granada_Heights"",""yrblt"":""1940-1959"",""zestimate"":""395526"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
