web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899272-1001","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/416-Pintail-Dr-Suisun-City-CA-94585/15734840_zpid/","Suisun City, CA 94585","Foreclosed","416 Pintail Dr,","2","https://www.zillow.com/suisun-city-ca/2_p/","null","4","null","$399,946","$399,946","Single Family","1976","Other","Central","Single Family","6,098 sqft","null","2","2","5","{""targetDiv"":""gpt-ad-d69f867c-96e4-4914-8491-e6fbf3200376"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""416 Pintail Dr"",""bd"":""4"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15734840"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""3032637007265033795"",""sqftrange"":""1500-1999"",""price"":""430050"",""sqft"":""1904"",""posting_url"":"""",""mlong"":""-122.013219"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.249619"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISijimi9mqhzgr1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""430050"",""premieragent"":""no""}}","null","null","null","null"
"1572899382-1093","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1527-Montebello-Dr-Suisun-City-CA-94585/15739386_zpid/","Suisun City, CA 94585","For sale","1527 Montebello Dr,","","","1,428","4","2","$400,049","$399,990","Single Family","1984","Other","Central","Single Family","6,534 sqft","$2,275/mo","4","2","5","{""targetDiv"":""gpt-ad-a6c047e4-67cc-403f-816d-0b4cdaa274be"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1527 Montebello Dr"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15739386"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""7487357881490621427"",""sqftrange"":""1000-1499"",""price"":""399990"",""sqft"":""1428"",""posting_url"":""http://greathomes.org/mls/property/21926370"",""mlong"":""-121.983934"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94585"",""mlat"":""38.247347"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7u2gbooz70dv1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""400049"",""premieragent"":""no""}}","null","null","null","null"
"1572899407-1118","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1441-Langley-Way-Suisun-City-CA-94585/15737173_zpid/","Suisun City, CA 94585","For sale","1441 Langley Way,","","","1,766","4","2","$437,416","$435,000","Single Family","1985","Other","No Data","Single Family","6,969 sqft","$2,295/mo","4","2","5","{""targetDiv"":""gpt-ad-a785ac30-fd6d-460d-9373-84f672a5602d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1441 Langley Way"",""bd"":""4"",""fsbid"":""15050"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15737173"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""5424865590185710390"",""sqftrange"":""1500-1999"",""price"":""435000"",""sqft"":""1766"",""posting_url"":""http://homesbylissette.com"",""mlong"":""-121.990414"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.252419"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS72l3ct9t45fk1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""437416"",""premieragent"":""no""}}","null","null","null","null"
"1572899387-1097","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1107-Pintail-Dr-Suisun-City-CA-94585/15735747_zpid/","Suisun City, CA 94585","Pre-foreclosure / auction","1107 Pintail Dr,","","","1,466","3","2","$377,876","$377,876","Single Family","1977","Other","Central","Single Family","6,534 sqft","null","4","2","5","{""targetDiv"":""gpt-ad-03fe475e-8799-49eb-82cb-103d9efaf453"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1107 Pintail Dr"",""bd"":""3"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15735747"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""-6639300851437264443"",""sqftrange"":""1000-1499"",""price"":""406319"",""sqft"":""1466"",""posting_url"":"""",""mlong"":""-121.99896"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.247244"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""406319"",""premieragent"":""no""}}","null","null","null","null"
"1572899310-1032","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/414-Coot-Ln-Suisun-City-CA-94585/15735256_zpid/","Suisun City, CA 94585","For sale","414 Coot Ln,","","","1,440","4","2","$425,935","$425,900","Single Family","1977","Other","Central","Single Family","5,662 sqft","$2,295/mo","null","null","null","{""targetDiv"":""gpt-ad-cf1f82cf-91ce-4a47-a13b-4d31dda51fef"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""414 Coot Ln"",""bd"":""4"",""fsbid"":""14311"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15735256"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""118323130945593427"",""sqftrange"":""1000-1499"",""price"":""425900"",""sqft"":""1440"",""posting_url"":"""",""mlong"":""-122.013198"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.244967"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnu1sprklb0fa0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""425935"",""premieragent"":""no""}}","null","null","null","null"
"1572899313-1035","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/727-Whispering-Bay-Ln-Suisun-City-CA-94585/15646784_zpid/","Suisun City, CA 94585","Pre-foreclosure","727 Whispering Bay Ln,","","","1,583","4","2","$364,608","$364,608","Single Family","1979","Other","Central","Single Family","8,712 sqft","null","4","2","5","{""targetDiv"":""gpt-ad-957ded71-3e42-46e3-811a-5177d46c1bee"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""727 Whispering Bay Ln"",""bd"":""4"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15646784"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""-2750042483752453384"",""sqftrange"":""1500-1999"",""price"":""360000"",""sqft"":""1583"",""posting_url"":"""",""mlong"":""-122.033852"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94585"",""mlat"":""38.23643"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISeseya97eqx2s0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1970-1979"",""zestimate"":""392052"",""premieragent"":""no""}}","null","null","null","null"
"1572899449-1160","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/837-Tulare-Cir-Suisun-City-CA-94585/15737209_zpid/","Suisun City, CA 94585","For sale","837 Tulare Cir,","","","1,934","4","3","$449,003","$449,000","Single Family","1985","Other","Central","Single Family","6,098 sqft","$2,395/mo","4","2","5","{""targetDiv"":""gpt-ad-25eac5c2-1d76-4dca-b0ef-5077109a4cd4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""837 Tulare Cir"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15737209"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-3155709241097138450"",""sqftrange"":""1500-1999"",""price"":""449000"",""sqft"":""1934"",""posting_url"":""http://greathomes.org/mls/property/21927757"",""mlong"":""-121.991789"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.251928"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnaewle4a3tm30000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""449003"",""premieragent"":""no""}}","null","null","null","null"
"1572899460-1167","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/804-Pochard-Way-Suisun-City-CA-94585/15736778_zpid/","Suisun City, CA 94585","For sale","804 Pochard Way,","","","1,532","4","2","$425,003","$425,000","Single Family","1985","Other","Central","Single Family","5,662 sqft","$2,295/mo","4","2","5","{""targetDiv"":""gpt-ad-1b16a8e5-6e79-4664-8a43-0588ea7faba0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""804 Pochard Way"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15736778"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-8315396225205604381"",""sqftrange"":""1500-1999"",""price"":""425000"",""sqft"":""1532"",""posting_url"":""http://greathomes.org/mls/property/21927858"",""mlong"":""-122.004963"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.248909"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvggsn1mf69530000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""425003"",""premieragent"":""no""}}","null","null","null","null"
"1572899412-1123","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/417-Pearce-Ct-Suisun-City-CA-94585/54660362_zpid/","Suisun City, CA 94585","For sale","417 Pearce Ct,","","","3,488","4","3","$595,005","$569,000","Single Family","2001","Other","Central","Single Family","6,534 sqft","$2,995/mo","4","2","5","{""targetDiv"":""gpt-ad-554ed74e-cc1e-4c30-b638-f3aa60ea329d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""417 Pearce Ct"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""54660362"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-8490588734654851636"",""sqftrange"":""3000-3499"",""price"":""569000"",""sqft"":""3488"",""posting_url"":""http://greathomes.org/mls/property/21927283"",""mlong"":""-121.992902"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94585"",""mlat"":""38.240408"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzj1uqsdy2htn1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""595005"",""premieragent"":""no""}}","null","null","null","null"
"1572899339-1055","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1403-Langley-Way-Suisun-City-CA-94585/15737034_zpid/","Suisun City, CA 94585","For sale","1403 Langley Way,","","","1,492","3","2","$420,003","$420,000","Single Family","1986","Other","Central","Single Family","6,098 sqft","$2,200/mo","4","2","5","{""targetDiv"":""gpt-ad-7856419f-be01-4dc6-8608-59feb02b3ee4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1403 Langley Way"",""bd"":""3"",""fsbid"":""13599"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15737034"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""7760287621550626361"",""sqftrange"":""1000-1499"",""price"":""420000"",""sqft"":""1492"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/1403-langley-way-suisun-city-94585/pid-2187223611?lead=MemberKey%3D1110525%26LeadBrand%3D11413101711000010000"",""mlong"":""-121.992653"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.250806"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmzcaduldalr0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""420003"",""premieragent"":""no""}}","null","null","null","null"
"1572899426-1136","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/213-Potrero-St-Suisun-City-CA-94585/15738752_zpid/","Suisun City, CA 94585","For sale","213 Potrero St,","","","1,666","3","3","null","$425,000","Single Family","1992","Other","Central","Single Family","4,356 sqft","$2,295/mo","4","2","5","{""targetDiv"":""gpt-ad-a4fe1c8c-22f6-4fab-9af6-2779a59a1e78"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""213 Potrero St"",""bd"":""3"",""fsbid"":""2877"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15738752"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-1034808190362539674"",""sqftrange"":""1500-1999"",""price"":""425000"",""sqft"":""1666"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBS7MBSE/"",""mlong"":""-121.988433"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.236612"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3z3hf4tqx2bv1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1990-1999"",""zestimate"":""425037"",""premieragent"":""no""}}","null","null","null","null"
"1572899437-1147","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1524-Casa-Loma-Way-Suisun-City-CA-94585/15739483_zpid/","Suisun City, CA 94585","For sale","1524 Casa Loma Way,","","","1,553","3","2","null","$430,000","Single Family","1985","Other","Central","Single Family","6,300 sqft","$2,300/mo","4","2","5","{""targetDiv"":""gpt-ad-811dec34-b517-4b50-ac59-b6517341fb9f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1524 Casa Loma Way"",""bd"":""3"",""fsbid"":""2877"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15739483"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""4226193976925677788"",""sqftrange"":""1500-1999"",""price"":""430000"",""sqft"":""1553"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBK8E2TR/"",""mlong"":""-121.984833"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.248209"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1ygpxpmiaxw0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""430002"",""premieragent"":""no""}}","null","null","null","null"
"1572899297-1021","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/409-Mcfall-Ct-Suisun-City-CA-94585/15738350_zpid/","Suisun City, CA 94585","Pre-foreclosure","409 Mcfall Ct,","2","https://www.zillow.com/suisun-city-ca/2_p/","null","4","null","$553,834","$553,834","Single Family","2001","Other","Central","Single Family","6,468 sqft","null","4","2","5","{""targetDiv"":""gpt-ad-0b1551e7-0883-40ed-9bc5-644b365077ee"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""409 Mcfall Ct"",""bd"":""4"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15738350"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""7360543023185744500"",""sqftrange"":""3000-3499"",""price"":""595521"",""sqft"":""3488"",""posting_url"":"""",""mlong"":""-121.995724"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94585"",""mlat"":""38.240364"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""595521"",""premieragent"":""no""}}","null","null","null","null"
"1572899344-1061","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/509-Cabana-Ct-Suisun-City-CA-94585/15739334_zpid/","Suisun City, CA 94585","For sale","509 Cabana Ct,","","","1,428","4","2","$400,258","$399,990","Single Family","1982","Other","Central","Single Family","0.26 acres","$2,250/mo","4","2","5","{""targetDiv"":""gpt-ad-550c2aa7-535c-4708-aa92-33e5a8e76fc8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""509 Cabana Ct"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15739334"",""lot"":""3"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-8063291107231118359"",""sqftrange"":""1000-1499"",""price"":""399990"",""sqft"":""1428"",""posting_url"":""http://greathomes.org/mls/property/21924988"",""mlong"":""-121.986076"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94585"",""mlat"":""38.245527"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfg14towqi2xm0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""400258"",""premieragent"":""no""}}","null","null","null","null"
"1572899402-1113","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/811-White-Wing-Ln-Suisun-City-CA-94585/15735457_zpid/","Suisun City, CA 94585","For sale","811 White Wing Ln,","","","1,890","4","3","$440,233","$440,000","Single Family","1978","Other","Central","Single Family","5,662 sqft","$2,395/mo","2","2","5","{""targetDiv"":""gpt-ad-364241d2-869e-46cf-9c60-548e40f51657"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""811 White Wing Ln"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15735457"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-7397804945770869636"",""sqftrange"":""1500-1999"",""price"":""440000"",""sqft"":""1890"",""posting_url"":""http://greathomes.org/mls/property/21927008"",""mlong"":""-122.009622"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.25033"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblu260fxcqul0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""440233"",""premieragent"":""no""}}","null","null","null","null"
"1572899306-1029","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1352-Lawler-Ranch-Pkwy-Suisun-City-CA-94585/64790590_zpid/","Suisun City, CA 94585","Pre-foreclosure","1352 Lawler Ranch Pkwy,","2","https://www.zillow.com/suisun-city-ca/2_p/","null","4","null","$464,201","$464,201","Single Family","1996","Other","Central","Single Family","9,000 sqft","null","4","2","5","{""targetDiv"":""gpt-ad-a90d7567-7c22-4e26-8afd-54cff884f63b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1352 Lawler Ranch Pkwy"",""bd"":""4"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""64790590"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_foreclosure"",""zguidh"":""1546034811452937068"",""sqftrange"":""2000-2499"",""price"":""499141"",""sqft"":""2268"",""posting_url"":"""",""mlong"":""-121.994374"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94585"",""mlat"":""38.236962"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1990-1999"",""zestimate"":""499141"",""premieragent"":""no""}}","null","null","null","null"
"1572899440-1150","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1328-Phillip-Way-Suisun-City-CA-94585/15650427_zpid/","Suisun City, CA 94585","For sale","1328 Phillip Way,","","","2,011","4","3","$435,176","$435,000","Single Family","1991","Other","No Data","Single Family","6,534 sqft","$2,395/mo","2","3","3","{""targetDiv"":""gpt-ad-792f2eaf-306f-44db-b9af-50d4da5c6e28"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1328 Phillip Way"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15650427"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""7890576153873506149"",""sqftrange"":""2000-2499"",""price"":""435000"",""sqft"":""2011"",""posting_url"":""http://greathomes.org/mls/property/21927718"",""mlong"":""-122.008485"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.260185"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcy2v57hiip60000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1990-1999"",""zestimate"":""435176"",""premieragent"":""no""}}","null","null","null","null"
"1572899253-989","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/79-Buena-Vista-Ave-Suisun-City-CA-94585/15646999_zpid/","Suisun City, CA 94585","Pre-foreclosure","79 Buena Vista Ave,","2","https://www.zillow.com/suisun-city-ca/2_p/","null","3","null","$371,437","$371,437","Single Family","1978","Other","No Data","Single Family","5,662 sqft","null","4","2","5","No Data","null","null","null","null"
"1572899391-1100","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1035-Prairie-Dr-Suisun-City-CA-94585/15736634_zpid/","Suisun City, CA 94585","For sale by owner","1035 Prairie Dr,","","","1,308","4","2","$387,184","$360,000","Single Family","1982","Forced air, Other","Central","Single Family","6,969 sqft","$2,200/mo","4","2","5","No Data","null","null","null","null"
"1572899453-1163","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/74-Terry-Ln-Suisun-City-CA-94585/15646936_zpid/","Suisun City, CA 94585","For sale","74 Terry Ln,","","","1,506","4","2","$419,054","$418,950","Single Family","1977","Other","No Data","Single Family","5,662 sqft","$2,300/mo","4","2","5","{""targetDiv"":""gpt-ad-679988a4-02e9-4fd7-927c-5c26c94b15e7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""74 Terry Ln"",""bd"":""4"",""fsbid"":""13601"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15646936"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""4446625951155321452"",""sqftrange"":""1500-1999"",""price"":""418950"",""sqft"":""1506"",""posting_url"":""http://greathomes.org/mls/property/21926101"",""mlong"":""-122.02764"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94585"",""mlat"":""38.247762"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb5iajojwgtsw1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""419054"",""premieragent"":""no""}}","null","null","null","null"
"1572899316-1038","https://www.zillow.com/homes/Suisun-City-CA_rb/","","https://www.zillow.com/homedetails/1105-Humphrey-Dr-Suisun-City-CA-94585/15650121_zpid/","Suisun City, CA 94585","Pre-foreclosure","1105 Humphrey Dr,","","","null","3","null","$348,387","$348,387","Single Family","1977","Other","No Data","Single Family","6,098 sqft","null","2","2","5","{""targetDiv"":""gpt-ad-f9d318bf-da61-4196-ad09-8eb743748a32"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1105 Humphrey Dr"",""bd"":""3"",""city"":""Suisun_City"",""proptp"":""sfh"",""pid"":""15650121"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""3889179294859900329"",""sqftrange"":""1000-1499"",""price"":""374610"",""sqft"":""1334"",""posting_url"":"""",""mlong"":""-122.006866"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94585"",""mlat"":""38.255187"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1970-1979"",""zestimate"":""374610"",""premieragent"":""no""}}","null","null","null","null"
