web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899197-944","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/345-Ponderosa-Rd-South-San-Francisco-CA-94080/15487064_zpid/","South San Francisco, CA 94080","Pre-foreclosure / auction","345 Ponderosa Rd,","","","null","3","null","$917,621","$917,621","Single Family","1960","Other","No Data","Single Family","5,880 sqft","null","7","6","6","{""targetDiv"":""gpt-ad-cc763f91-4505-46cb-a908-6edcd84507ac"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""345 Ponderosa Rd"",""bd"":""3"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15487064"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""1078696905417261708"",""sqftrange"":""1500-1999"",""price"":""1240029"",""sqft"":""1810"",""posting_url"":"""",""mlong"":""-122.435425"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.645374"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Avalon"",""yrblt"":""1960-1969"",""zestimate"":""1240029"",""premieragent"":""no""}}","null","null","null","null"
"1572899339-1056","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/1285-Edgewood-Way-South-San-Francisco-CA-94080/15481870_zpid/","South San Francisco, CA 94080","For sale","1285 Edgewood Way,","","","1,320","2","2","$1,036,942","$985,000","Single Family","1952","Forced air","None","Single Family","4,499 sqft","$3,800/mo","3","4","8","{""targetDiv"":""gpt-ad-f5fd62c5-90ab-464e-87db-040995e4f0eb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1285 Edgewood Way"",""bd"":""2"",""fsbid"":""13753"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15481870"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-4897296598697782853"",""sqftrange"":""1000-1499"",""price"":""985000"",""oh"":""yes"",""sqft"":""1320"",""posting_url"":""https://www.pacificunion.com/real-estate/1285-edgewood-way-south-san-francisco-ca-94080/ML81774195/79493399"",""mlong"":""-122.441773"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94080"",""mlat"":""37.664179"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrll8axbp845m1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Sunshine_Gardens"",""yrblt"":""1940-1959"",""zestimate"":""1036942"",""premieragent"":""no""}}","null","null","null","null"
"1572899214-959","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/555-Palm-Ave-South-San-Francisco-CA-94080/15485733_zpid/","South San Francisco, CA 94080","Pre-foreclosure","555 Palm Ave,","","","1,330","3","2","$637,557","$637,557","Single Family","1932","Forced air","None","Single Family","3,998 sqft","null","3","4","6","{""targetDiv"":""gpt-ad-1ea028e5-a7c9-489b-9500-d7e80cf78bc7"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""555 Palm Ave"",""bd"":""3"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15485733"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_foreclosure"",""zguidh"":""535426158482744911"",""sqftrange"":""1000-1499"",""price"":""861564"",""sqft"":""1330"",""posting_url"":"""",""mlong"":""-122.417877"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94080"",""mlat"":""37.659641"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z800"",""hood"":""Sign_Hill"",""yrblt"":""1920-1939"",""zestimate"":""861564"",""premieragent"":""no""}}","null","null","null","null"
"1572899222-967","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/633-Baden-Ave-South-San-Francisco-CA-94080/2094291013_zpid/","South San Francisco, CA 94080","For sale","633 Baden Ave,","","","null","2","null","null","$768,000","Condo","1985","Baseboard","Central","Condo","$332/month","$3,280/mo","3","4","6","{""targetDiv"":""gpt-ad-477d2652-bec6-4081-a507-ef86f11476b3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""633 Baden Ave"",""bd"":""2"",""fsbid"":""15327"",""city"":""South_San_Francisco"",""proptp"":""cnd"",""pid"":""2094291013"",""lot"":""3"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""4214237353220404037"",""sqftrange"":""1000-1499"",""price"":""768000"",""sqft"":""1293"",""posting_url"":"""",""mlong"":""-122.421401"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94080"",""mlat"":""37.656325"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzf6jeywdibkn0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Old_Town"",""yrblt"":""1980-1989"",""zestimate"":""798139"",""premieragent"":""no""}}","null","null","null","null"
"1572899258-992","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/849-Ridge-Ct-South-San-Francisco-CA-94080/2126675752_zpid/","South San Francisco, CA 94080","For sale","849 Ridge Ct,","","","1,454","3","3","$882,888","$838,000","Townhouse","1970","Forced air","None","Townhouse","2,500 sqft","$4,000/mo","3","4","6","{""targetDiv"":""gpt-ad-c5354b14-2615-47bb-8b3a-c964c3d0dd29"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""849 Ridge Ct"",""bd"":""3"",""fsbid"":""13698"",""city"":""South_San_Francisco"",""proptp"":""twn"",""pid"":""2126675752"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""7405347616428175065"",""sqftrange"":""1000-1499"",""price"":""838000"",""sqft"":""1454"",""posting_url"":"""",""mlong"":""-122.427772"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94080"",""mlat"":""37.665308"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmruei07wuos0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Sign_Hill"",""yrblt"":""1970-1979"",""zestimate"":""882888"",""premieragent"":""no""}}","null","null","null","null"
"1572899212-958","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/3550-Carter-Dr-APT-11-South-San-Francisco-CA-94080/15620732_zpid/","South San Francisco, CA 94080","For sale","3550 Carter Dr APT 11,","","","877","2","2","$747,016","$699,000","Condo","1979","Forced air","None","Condo","$425/month","$3,000/mo","9","8","6","{""targetDiv"":""gpt-ad-66e91497-b15b-4533-a6b3-7512519d4a4f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 11"",""aamgnrc1"":""3550 Carter Dr"",""bd"":""2"",""fsbid"":""13698"",""city"":""South_San_Francisco"",""proptp"":""cnd"",""pid"":""15620732"",""lot"":""8"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-5671568350860633288"",""sqftrange"":""500-999"",""price"":""699000"",""sqft"":""877"",""posting_url"":"""",""mlong"":""-122.464802"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94080"",""mlat"":""37.642107"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj36u388yzssg1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Westborough"",""yrblt"":""1970-1979"",""zestimate"":""747016"",""premieragent"":""no""}}","null","null","null","null"
"1572899152-897","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/828-Stonegate-Dr-13-South-San-Francisco-CA-94080/15620078_zpid/","South San Francisco, CA 94080","Pre-foreclosure","828 Stonegate Dr # 13,","2","https://www.zillow.com/south-san-francisco-ca/2_p/","null","2","null","$550,333","$550,333","Townhouse","1979","No Data","No Data","Townhouse","600 sqft","null","3","4","6","{""targetDiv"":""gpt-ad-42128256-1d20-4fa3-b100-efac7ce24d0b"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 13"",""aamgnrc1"":""828 Stonegate Dr"",""bd"":""2"",""city"":""South_San_Francisco"",""proptp"":""twn"",""pid"":""15620078"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""zguidh"":""-5847018422323565801"",""sqftrange"":""1000-1499"",""price"":""743694"",""sqft"":""1080"",""posting_url"":"""",""mlong"":""-122.427772"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94080"",""mlat"":""37.665308"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z700"",""hood"":""Sign_Hill"",""yrblt"":""1970-1979"",""zestimate"":""743694"",""premieragent"":""no""}}","null","null","null","null"
"1572899326-1047","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2925-Shannon-Dr-South-San-Francisco-CA-94080/15605737_zpid/","South San Francisco, CA 94080","For sale","2925 Shannon Dr,","","","null","5","null","$1,508,537","$1,485,000","Single Family","1965","No Data","None","Single Family","5,000 sqft","$4,500/mo","9","8","6","{""targetDiv"":""gpt-ad-1a54e36e-c8cb-4700-8b20-521d45e12f5e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2925 Shannon Dr"",""bd"":""5"",""fsbid"":""14671"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15605737"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-6671527333145199575"",""sqftrange"":""2500-2999"",""price"":""1485000"",""sqft"":""2800"",""posting_url"":""https://homesmart.com/go/691ab834b3da39113c2d7331cedee2f238b089f3-zillow?BK_THEME=hs0030"",""mlong"":""-122.447015"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.637846"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjervjlkqfuo0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Westborough"",""yrblt"":""1960-1969"",""zestimate"":""1508537"",""premieragent"":""no""}}","null","null","null","null"
"1572899217-963","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2210-Gellert-Blvd-APT-5206-South-San-Francisco-CA-94080/79842968_zpid/","South San Francisco, CA 94080","For sale","2210 Gellert Blvd APT 5206,","","","1,200","3","2","$1,007,803","$969,000","Condo","2006","Other","None","Condo","$419/month","$3,800/mo","9","8","6","{""targetDiv"":""gpt-ad-a25dbc7e-6840-4c1c-96ff-572b935842df"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 5206"",""aamgnrc1"":""2210 Gellert Blvd"",""bd"":""3"",""fsbid"":""13698"",""city"":""South_San_Francisco"",""proptp"":""cnd"",""pid"":""79842968"",""lot"":""5"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1929243851536910256"",""sqftrange"":""1000-1499"",""price"":""969000"",""sqft"":""1200"",""posting_url"":""http://www.franklinlee.net"",""mlong"":""-122.453732"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94080"",""mlat"":""37.647586"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcaw1ow2xeuv0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Westborough"",""yrblt"":""2000-2009"",""zestimate"":""1007803"",""premieragent"":""no""}}","null","null","null","null"
"1572899248-987","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/920-Mission-Rd-UNIT-16-South-San-Francisco-CA-94080/15625568_zpid/","South San Francisco, CA 94080","For sale","920 Mission Rd UNIT 16,","","","1,060","2","2","$724,282","$698,000","Condo","1987","Baseboard","None","Condo","$570/month","$3,200/mo","3","4","8","{""targetDiv"":""gpt-ad-87dfaf3b-882c-489c-ab0b-646cc21c59f1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 16"",""aamgnrc1"":""920 Mission Rd"",""bd"":""2"",""fsbid"":""14224"",""city"":""South_San_Francisco"",""proptp"":""cnd"",""pid"":""15625568"",""lot"":""7"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-4989836570531000250"",""sqftrange"":""1000-1499"",""price"":""698000"",""sqft"":""1060"",""posting_url"":""http://www.mikebohnert.com"",""mlong"":""-122.43282"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94080"",""mlat"":""37.6575"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1fluwec1lxb1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Sunshine_Gardens"",""yrblt"":""1980-1989"",""zestimate"":""724282"",""premieragent"":""no""}}","null","null","null","null"
"1572899226-971","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/633-Baden-Ave-APT-C-South-San-Francisco-CA-94080/15624965_zpid/","South San Francisco, CA 94080","For sale","633 Baden Ave APT C,","","","null","2","null","null","$768,000","Condo","1985","Baseboard","None","Condo","$333/month","$3,116/mo","3","4","6","{""targetDiv"":""gpt-ad-a847707d-336b-41ec-bb22-ee2d47be3a69"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt C"",""aamgnrc1"":""633 Baden Ave"",""bd"":""2"",""fsbid"":""15910"",""city"":""South_San_Francisco"",""proptp"":""cnd"",""pid"":""15624965"",""lot"":""3"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-6090320064159132025"",""sqftrange"":""1000-1499"",""price"":""768000"",""sqft"":""1293"",""posting_url"":""https://climbre.com/displet-property-redirect/119843425/"",""mlong"":""-122.421401"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94080"",""mlat"":""37.656325"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzjxir2c8uzif1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Old_Town"",""yrblt"":""1980-1989"",""zestimate"":""798078"",""premieragent"":""no""}}","null","null","null","null"
"1572899255-990","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/215-Mansfield-Dr-South-San-Francisco-CA-94080/15478780_zpid/","South San Francisco, CA 94080","For sale","215 Mansfield Dr,","","","1,030","3","1","null","$1,200,000","Single Family","1952","Wall","None","Single Family","4,499 sqft","$3,995/mo","6","6","8","{""targetDiv"":""gpt-ad-be9f3a80-a817-40bc-9306-90b937e175cd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""215 Mansfield Dr"",""bd"":""3"",""fsbid"":""4383"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15478780"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-9209252741238386911"",""sqftrange"":""1000-1499"",""price"":""1200000"",""sqft"":""1030"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/south-san-francisco/215-south-mansfield-dr/pid_32745086/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.458624"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.660538"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1uxrbmyvamx1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""West_Winston_Manor"",""yrblt"":""1940-1959"",""zestimate"":""1247828"",""premieragent"":""no""}}","null","null","null","null"
"1572899171-916","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/623-Miller-Ave-South-San-Francisco-CA-94080/15485314_zpid/","South San Francisco, CA 94080","Pre-foreclosure","623 Miller Ave,","2","https://www.zillow.com/south-san-francisco-ca/2_p/","null","3","null","$774,617","$774,617","Single Family","1951","Other","No Data","Single Family","5,662 sqft","null","3","4","6","{""targetDiv"":""gpt-ad-98c7b67a-4352-4dba-8e1a-80048f11b780"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""623 Miller Ave"",""bd"":""3"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15485314"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-4366003467500306162"",""sqftrange"":""1000-1499"",""price"":""1046780"",""sqft"":""1370"",""posting_url"":"""",""mlong"":""-122.420348"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.658198"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISadsfwoswjmvc0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Old_Town"",""yrblt"":""1940-1959"",""zestimate"":""1046780"",""premieragent"":""no""}}","null","null","null","null"
"1572899251-988","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/155-Brentwood-Dr-South-San-Francisco-CA-94080/15487865_zpid/","South San Francisco, CA 94080","For sale","155 Brentwood Dr,","","","990","2","1","null","$879,000","Single Family","1946","Forced air","None","Single Family","4,499 sqft","$3,400/mo","7","6","6","No Data","null","null","null","null"
"1572899195-940","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2815-Shannon-Dr-South-San-Francisco-CA-94080/15605515_zpid/","South San Francisco, CA 94080","Pre-foreclosure","2815 Shannon Dr,","","","null","4","null","$826,251","$826,251","Single Family","1963","Other","No Data","Single Family","4,965 sqft","null","9","8","6","{""targetDiv"":""gpt-ad-e0d04582-f626-4b51-9c5e-ea937a9266e9"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2815 Shannon Dr"",""bd"":""4"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15605515"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-8314027632940130633"",""sqftrange"":""1500-1999"",""price"":""1116556"",""sqft"":""1500"",""posting_url"":"""",""mlong"":""-122.448165"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.636259"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Westborough"",""yrblt"":""1960-1969"",""zestimate"":""1116556"",""premieragent"":""no""}}","null","null","null","null"
"1572899273-1002","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/9-Sonora-Ave-South-San-Francisco-CA-94080/15488779_zpid/","South San Francisco, CA 94080","For sale","9 Sonora Ave,","","","null","3","null","$1,084,538","$1,000,000","Single Family","1948","Gas","No Data","Single Family","5,370 sqft","$3,800/mo","3","6","6","{""targetDiv"":""gpt-ad-e1e2fc85-d1da-4df9-a25e-fe0c5422b621"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""9 Sonora Ave"",""bd"":""3"",""fsbid"":""14073"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15488779"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1112294147598391038"",""sqftrange"":""1000-1499"",""price"":""1000000"",""sqft"":""1429"",""posting_url"":"""",""mlong"":""-122.423341"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.645527"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7uqqnjtk3eb01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Orange_Park"",""yrblt"":""1940-1959"",""zestimate"":""1084538"",""premieragent"":""no""}}","null","null","null","null"
"1572899349-1067","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/2208-Barrington-Ct-South-San-Francisco-CA-94080/15605596_zpid/","South San Francisco, CA 94080","For sale","2208 Barrington Ct,","","","1,670","4","3","$1,160,289","$1,098,000","Single Family","1973","Forced air","Central","Single Family","2,051 sqft","$4,096/mo","9","8","6","{""targetDiv"":""gpt-ad-ef3f7a07-f4dc-447e-b45a-9f1d751da766"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2208 Barrington Ct"",""bd"":""4"",""fsbid"":""14073"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15605596"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-5000590073580807047"",""sqftrange"":""1500-1999"",""price"":""1098000"",""oh"":""yes"",""sqft"":""1670"",""posting_url"":""http://www.KirkDahle.com"",""mlong"":""-122.452456"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94080"",""mlat"":""37.64258"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv4nhec3j1avt0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Westborough"",""yrblt"":""1970-1979"",""zestimate"":""1160289"",""premieragent"":""no""}}","null","null","null","null"
"1572899174-919","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/119-Sycamore-Ave-South-San-Francisco-CA-94080/15488600_zpid/","South San Francisco, CA 94080","Pre-foreclosure","119 Sycamore Ave,","2","https://www.zillow.com/south-san-francisco-ca/2_p/","null","3","null","$701,683","$701,683","Single Family","1944","No Data","No Data","Single Family","5,227 sqft","null","3","6","6","{""targetDiv"":""gpt-ad-2f3fb285-a9f8-4b96-9f53-6952137006f3"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""119 Sycamore Ave"",""bd"":""3"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""15488600"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""-2679749869024128459"",""sqftrange"":""1000-1499"",""price"":""948221"",""sqft"":""1000"",""posting_url"":"""",""mlong"":""-122.423476"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94080"",""mlat"":""37.650011"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z900"",""hood"":""Orange_Park"",""yrblt"":""1940-1959"",""zestimate"":""948221"",""premieragent"":""no""}}","null","null","null","null"
"1572899184-929","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/57-Mandalay-Pl-South-San-Francisco-CA-94080/61471889_zpid/","South San Francisco, CA 94080","Pre-foreclosure / auction","57 Mandalay Pl,","","","null","3","null","$1,131,577","$1,131,577","Single Family","2004","Other","No Data","Single Family","4,181 sqft","null","7","7","5","{""targetDiv"":""gpt-ad-0c0dd528-ccfc-4991-a365-1b150e2fd1e7"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""57 Mandalay Pl"",""bd"":""3"",""city"":""South_San_Francisco"",""proptp"":""sfh"",""pid"":""61471889"",""lot"":""1"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""2583485200837673715"",""sqftrange"":""2000-2499"",""price"":""1529159"",""sqft"":""2490"",""posting_url"":"""",""mlong"":""-122.400843"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94080"",""mlat"":""37.666282"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Terrabay"",""yrblt"":""2000-2009"",""zestimate"":""1529159"",""premieragent"":""no""}}","null","null","null","null"
"1572899279-1006","https://www.zillow.com/homes/south-san-francisco-CA_rb/","","https://www.zillow.com/homedetails/832-Stonegate-Dr-South-San-Francisco-CA-94080/2131078789_zpid/","South San Francisco, CA 94080","For sale","832 Stonegate Dr,","","","1,454","3","3","$917,835","$848,000","Townhouse","1970","Forced air","None","Townhouse","0.32 acres","$3,950/mo","3","4","6","{""targetDiv"":""gpt-ad-e88891d0-490a-4d6f-9b5b-e4e9c6f6c8b1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""832 Stonegate Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""South_San_Francisco"",""proptp"":""twn"",""pid"":""2131078789"",""lot"":""3"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""1789416401378872867"",""sqftrange"":""1000-1499"",""price"":""848000"",""sqft"":""1454"",""posting_url"":"""",""mlong"":""-122.427772"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94080"",""mlat"":""37.665308"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvgomszl44ne80000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Sign_Hill"",""yrblt"":""1970-1979"",""zestimate"":""917835"",""premieragent"":""no""}}","null","null","null","null"
