web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919193-9042","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1652-San-Miguel-Dr-Walnut-Creek-CA-94596/18413768_zpid/","Walnut Creek, CA 94596","For sale","1652 San Miguel Dr,","","","","","4","https://www.zillow.com/walnut-creek-ca/4_p/","","","1,154","1","2","$639,660","$638,950","Condo","1983","Forced air","Central","Condo","$600/month","null","9","8","9","{""targetDiv"":""gpt-ad-921bed8d-eaef-441e-a922-d4ef5f9031ca"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1652 San Miguel Dr"",""bd"":""1"",""fsbid"":""14106"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18413768"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-3375964868523686537"",""sqftrange"":""1000-1499"",""price"":""638950"",""oh"":""yes"",""sqft"":""1154"",""posting_url"":"""",""mlong"":""-122.05464"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94596"",""mlat"":""37.899179"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzvinifpvgyjb1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""639660"",""premieragent"":""no""}}","null","null","null","null"
"1572919888-9819","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1312-Rudgear-Rd-Walnut-Creek-CA-94596/18417224_zpid/","Walnut Creek, CA 94596","For sale","1312 Rudgear Rd,","2","https://www.zillow.com/walnut-creek-ca/2_p/","","","","","","","3,210","3","5","$1,669,156","$1,689,500","Single Family","1953","Forced air","Central","Single Family","0.55 acres","$5,840/mo","7","8","9","{""targetDiv"":""gpt-ad-4bb20b33-693b-402d-81c4-8802b3947673"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1312 Rudgear Rd"",""bd"":""3"",""fsbid"":""13862"",""city"":""Walnut_Creek"",""proptp"":""sfh"",""pid"":""18417224"",""lot"":""4"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-683688076503041596"",""sqftrange"":""3000-3499"",""price"":""1689500"",""sqft"":""3210"",""posting_url"":"""",""mlong"":""-122.039578"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94596"",""mlat"":""37.880495"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyvecr7zyxnh81000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1669156"",""premieragent"":""no""}}","null","null","null","null"
"1572919083-8925","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/170-Brodia-Way-Walnut-Creek-CA-94598/95454926_zpid/","Walnut Creek, CA 94598","Lot/land","170 Brodia Way,","","","","","","","5","https://www.zillow.com/walnut-creek-ca/5_p/","null","0.92 acres","null","None","$799,000","null","null","null","null","null","null","null","7","9","10","{""targetDiv"":""gpt-ad-93ac71ee-732f-42ac-a549-3e3fe4dfbd2c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94598"",""aamgnrc1"":""170 Brodia Way"",""mlat"":""37.903838"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7yp84dvixvsj1000000000.jpg"",""zusr"":""true"",""city"":""Walnut_Creek"",""proptp"":""lot"",""pid"":""95454926"",""lot"":""5"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2172110183384925583"",""premieragent"":""no"",""price"":""799000"",""posting_url"":""http://www.brassingarealestate.com"",""mlong"":""-122.028728"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572920061-9951","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/community/stoneyridge/2082501671_zpid/","Walnut Creek, CA 94596","New construction","Buildable plan: Plan Three, Stoneyridge,","","","","","","","","","1,378","2","2","$1,098,915","$1,095,990","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","8","9","{""targetDiv"":""gpt-ad-2b699a4e-f6d0-4300-b8af-6a2fefba36a6"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" BQ9CYZ"",""aamgnrc1"":""310 Stoneyridge Ln"",""bd"":""2"",""fsbid"":""14581"",""city"":""Walnut_Creek"",""proptp"":""twn"",""pid"":""2082501671"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""1095990"",""sqft"":""1378"",""posting_url"":""https://landseahomes.com/northern-california/stoneyridge?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=577344&nhf_listing_type=plan&utm_term=plan_PlanThree&utm_campaign=Walnut+Creek%2FCA"",""state"":""CA"",""mlong"":""-122.054607"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94596"",""mlat"":""37.898601"",""plid"":""2085089"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzbfn0kok8tgr1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1098915"",""premieragent"":""no"",""builderChatId"":""14581-799113"",""dma"":""37""}}","null","null","null","null"
"1572920052-9945","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/3350-Westport-Ct-Walnut-Creek-CA-94598/18377656_zpid/","Walnut Creek, CA 94598","For sale","3350 Westport Ct,","","","","","","","","","1,839","4","3","$1,034,959","$1,025,000","Single Family","1976","Forced air","Central","Single Family","5,623 sqft","$3,600/mo","6","9","10","{""targetDiv"":""gpt-ad-45bd180a-dcb0-452a-8cf2-4c8fce19a13f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3350 Westport Ct"",""bd"":""4"",""fsbid"":""15050"",""city"":""Walnut_Creek"",""proptp"":""sfh"",""pid"":""18377656"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-876136929392016312"",""sqftrange"":""1500-1999"",""price"":""1025000"",""oh"":""yes"",""sqft"":""1839"",""posting_url"":"""",""mlong"":""-122.005948"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94598"",""mlat"":""37.915945"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb52evztzztou1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1034959"",""premieragent"":""no""}}","null","null","null","null"
"1572919092-8936","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/4308-Terra-Granada-Dr-APT-1A-Walnut-Creek-CA-94595/18424653_zpid/","Walnut Creek, CA 94595","For sale","4308 Terra Granada Dr APT 1A,","","","","","","","5","https://www.zillow.com/walnut-creek-ca/5_p/","1,383","2","2","$652,966","$648,000","Condo","1988","Forced air","Central","Condo","$935/month","null","9","8","9","{""targetDiv"":""gpt-ad-0d93caba-46c0-411d-b669-8285ed9ad2fc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 1A"",""aamgnrc1"":""4308 Terra Granada Dr"",""bd"":""2"",""fsbid"":""14106"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18424653"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-2631631215021609393"",""sqftrange"":""1000-1499"",""price"":""648000"",""sqft"":""1383"",""posting_url"":""http://www.LoriYoung.com"",""mlong"":""-122.061637"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94595"",""mlat"":""37.850168"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS337qjpe219sn0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""652966"",""premieragent"":""no""}}","null","null","null","null"
"1572919788-9718","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/2708-Oak-Rd-APT-36-Walnut-Creek-CA-94597/18408537_zpid/","Walnut Creek, CA 94597","For sale","2708 Oak Rd APT 36,","2","https://www.zillow.com/walnut-creek-ca/2_p/","","","","","","","879","2","1","$440,037","$439,990","Condo","1972","Forced air, Heat pump","Central","Condo","$415/month","$2,300/mo","9","8","9","{""targetDiv"":""gpt-ad-af3c285a-aa1d-4922-9830-bf0d6a8eb5ed"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 36"",""aamgnrc1"":""2708 Oak Rd"",""bd"":""2"",""fsbid"":""14106"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18408537"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-5997856390782753992"",""sqftrange"":""500-999"",""price"":""439990"",""sqft"":""879"",""posting_url"":""http://www.peterdoanrealty.com"",""mlong"":""-122.057455"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94597"",""mlat"":""37.922455"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcml9gru15wm1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""440037"",""premieragent"":""no""}}","null","null","null","null"
"1572919029-8863","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/410-N-Civic-Dr-APT-310-Walnut-Creek-CA-94596/18410177_zpid/","Walnut Creek, CA 94596","Pre-foreclosure","410 N Civic Dr APT 310,","","","","","","","5","https://www.zillow.com/walnut-creek-ca/5_p/","null","1","null","$350,943","$350,943","Condo","1972","Forced air","Central","Condo","$541/month","null","9","8","9","{""targetDiv"":""gpt-ad-0cb12efc-b236-421d-ab53-5391174d3362"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 310"",""aamgnrc1"":""410 N Civic Dr"",""bd"":""1"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18410177"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""290023843782230689"",""sqftrange"":""500-999"",""price"":""361797"",""sqft"":""836"",""posting_url"":"""",""mlong"":""-122.058901"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94596"",""mlat"":""37.913447"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1970-1979"",""zestimate"":""361797"",""premieragent"":""no""}}","null","null","null","null"
"1572919976-9891","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1317-Leisure-Ln-APT-9-Walnut-Creek-CA-94595/18554425_zpid/","Walnut Creek, CA 94595","For sale","1317 Leisure Ln APT 9,","","","","","","","","","1,054","2","1","$476,251","$468,000","Condo","1964","Forced air","Central","Condo","$808/month","$2,500/mo","9","8","9","{""targetDiv"":""gpt-ad-7e7b4fd4-16ae-434a-8ce8-c6046a8720d9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 9"",""aamgnrc1"":""1317 Leisure Ln"",""bd"":""2"",""fsbid"":""14106"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18554425"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-1092851723016354172"",""sqftrange"":""1000-1499"",""price"":""468000"",""sqft"":""1054"",""posting_url"":"""",""mlong"":""-122.073739"",""state"":""CA"",""prange"":""450-499k"",""zip"":""94595"",""mlat"":""37.860827"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjr8w5xgx6tpg0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1960-1969"",""zestimate"":""476251"",""premieragent"":""no""}}","null","null","null","null"
"1572920158-10015","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/3064-Rossmoor-Pkwy-APT-8-Walnut-Creek-CA-94595/18423807_zpid/","Walnut Creek, CA 94595","For sale","3064 Rossmoor Pkwy APT 8,","","","","","","","","","1,632","2","2","$1,017,452","$988,000","Condo","1976","Forced air, Heat pump","Central","Condo","$880/month","$3,200/mo","9","8","9","{""targetDiv"":""gpt-ad-84a4e4a5-f30f-4baa-9be9-21825a6f7778"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 8"",""aamgnrc1"":""3064 Rossmoor Pkwy"",""bd"":""2"",""fsbid"":""14311"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18423807"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-3679051101926298582"",""sqftrange"":""1500-1999"",""price"":""988000"",""sqft"":""1632"",""posting_url"":""http://anitacox.net"",""mlong"":""-122.063527"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94595"",""mlat"":""37.862494"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdk1outj137q1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1017452"",""premieragent"":""no""}}","null","null","null","null"
"1572919097-8942","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1224-Singingwood-Ct-APT-4-Walnut-Creek-CA-94595/18556071_zpid/","Walnut Creek, CA 94595","For sale","1224 Singingwood Ct APT 4,","","","","","","","5","https://www.zillow.com/walnut-creek-ca/5_p/","1,150","2","2","$581,544","$589,000","Condo","1966","Other","Central","Condo","$808/month","$2,800/mo","9","8","9","{""targetDiv"":""gpt-ad-87122032-7dfd-4d40-9d70-c26f2e6764bd"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 4"",""aamgnrc1"":""1224 Singingwood Ct"",""bd"":""2"",""fsbid"":""13599"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18556071"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-8701145470409650192"",""sqftrange"":""1000-1499"",""price"":""589000"",""sqft"":""1150"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/1224-singingwood-ct-walnut-creek-94595/pid-2174306664?lead=MemberKey%3D48504%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.071272"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94595"",""mlat"":""37.860534"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7abhufzi7h4g1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1960-1969"",""zestimate"":""581544"",""premieragent"":""no""}}","null","null","null","null"
"1572919706-9631","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1116-Oakmont-Dr-APT-5-Walnut-Creek-CA-94595/18553469_zpid/","Walnut Creek, CA 94595","For sale","1116 Oakmont Dr APT 5,","","","3","https://www.zillow.com/walnut-creek-ca/3_p/","","","","","1,262","2","1","$343,521","$339,000","Condo","1964","Forced air","Central","Condo","$681/month","$2,650/mo","9","8","9","{""targetDiv"":""gpt-ad-bf62cfef-f0a1-4b48-a3a6-fa618ee5fb1a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 5"",""aamgnrc1"":""1116 Oakmont Dr"",""bd"":""2"",""fsbid"":""14106"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18553469"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-3379810019332503354"",""sqftrange"":""1000-1499"",""price"":""339000"",""sqft"":""1262"",""posting_url"":""http://www.L2Properties.com"",""mlong"":""-122.076443"",""state"":""CA"",""prange"":""300-349k"",""zip"":""94595"",""mlat"":""37.870211"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7e217p58cwk41000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1960-1969"",""zestimate"":""343521"",""premieragent"":""no""}}","null","null","null","null"
"1572920161-10018","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1300-Canyonwood-Ct-APT-10-Walnut-Creek-CA-94595/18556305_zpid/","Walnut Creek, CA 94595","For sale","1300 Canyonwood Ct APT 10,","","","","","","","","","1,054","2","1","$300,002","$300,000","Condo","1967","Forced air","Central","Condo","$808/month","$2,600/mo","9","8","9","{""targetDiv"":""gpt-ad-e90791fa-df2c-4b76-b7ec-fe29a788a603"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 10"",""aamgnrc1"":""1300 Canyonwood Ct"",""bd"":""2"",""fsbid"":""16701"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18556305"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-8940293148946470400"",""sqftrange"":""1000-1499"",""price"":""300000"",""sqft"":""1054"",""posting_url"":"""",""mlong"":""-122.069886"",""state"":""CA"",""prange"":""300-349k"",""zip"":""94595"",""mlat"":""37.85867"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnm7zgrlvjjbi1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1960-1969"",""zestimate"":""300002"",""premieragent"":""no""}}","null","null","null","null"
"1572919021-8856","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1860-Tice-Creek-Dr-APT-1103-Walnut-Creek-CA-94595/18424936_zpid/","Walnut Creek, CA 94595","For sale","1860 Tice Creek Dr APT 1103,","","","","","","","5","https://www.zillow.com/walnut-creek-ca/5_p/","1,138","2","2","$720,985","$720,000","Condo","1990","Forced air, Heat pump","Central","Condo","$2,338/month","$2,850/mo","9","8","9","{""targetDiv"":""gpt-ad-8d9a4ac5-b201-4152-b541-524cb035bcef"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 1103"",""aamgnrc1"":""1860 Tice Creek Dr"",""bd"":""2"",""fsbid"":""16701"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18424936"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""7600300418496860579"",""sqftrange"":""1000-1499"",""price"":""720000"",""sqft"":""1138"",""posting_url"":""http://www.yourrossmoorrealtor.com"",""mlong"":""-122.074925"",""state"":""CA"",""prange"":""700-799k"",""zip"":""94595"",""mlat"":""37.872174"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1zc96kk2nfb1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1990-1999"",""zestimate"":""720985"",""premieragent"":""no""}}","null","null","null","null"
"1572919663-9580","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/141-Rudgear-Dr-Walnut-Creek-CA-94596/95430157_zpid/","Walnut Creek, CA 94596","Pre-foreclosure","141 Rudgear Dr,","","","3","https://www.zillow.com/walnut-creek-ca/3_p/","","","","","null","0.46 acres","null","null","null","null","null","null","null","null","null","null","7","8","9","{""targetDiv"":""gpt-ad-eb985b7c-506a-40e2-a821-c3d4de9f9d5d"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94596"",""aamgnrc1"":""141 Rudgear Dr"",""mlat"":""37.878981"",""bd"":""4"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS-1iqa0dvlgeg65.jpg"",""zusr"":""true"",""city"":""Walnut_Creek"",""proptp"":""lot"",""pid"":""95430157"",""yrblt"":""2010-2019"",""lot"":""3"",""listtp"":""buy_foreclosure"",""zguidh"":""5240656323015810021"",""premieragent"":""no"",""sqftrange"":""5000-5999"",""sqft"":""5215"",""posting_url"":"""",""mlong"":""-122.042381"",""state"":""CA"",""park"":""yes""}}","null","null","null","null"
"1572919523-9419","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1411-Piedra-Dr-Walnut-Creek-CA-94597/18405310_zpid/","Walnut Creek, CA 94597","Pre-foreclosure","1411 Piedra Dr,","","","3","https://www.zillow.com/walnut-creek-ca/3_p/","","","","","null","3","null","$839,254","$839,254","Single Family","1962","Forced air","Evaporative","Single Family","0.34 acres","null","7","6","9","{""targetDiv"":""gpt-ad-fa6c5b38-cff0-4c00-b1ce-a9e20d3df0d1"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1411 Piedra Dr"",""bd"":""3"",""city"":""Walnut_Creek"",""proptp"":""sfh"",""pid"":""18405310"",""lot"":""3"",""zestibuck"":""800-899k"",""listtp"":""buy_foreclosure"",""zguidh"":""306384216968445350"",""sqftrange"":""1000-1499"",""price"":""865211"",""sqft"":""1353"",""posting_url"":"""",""mlong"":""-122.085423"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94597"",""mlat"":""37.919074"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""865211"",""premieragent"":""no""}}","null","null","null","null"
"1572919971-9888","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/2701-Golden-Rain-Rd-APT-1-Walnut-Creek-CA-94595/18555523_zpid/","Walnut Creek, CA 94595","For sale","2701 Golden Rain Rd APT 1,","","","","","","","","","1,054","2","1","$446,040","$440,000","Condo","1965","Forced air","Central","Condo","$681/month","$2,650/mo","9","8","9","{""targetDiv"":""gpt-ad-0a44f8fc-d89a-4c45-81b5-7bc7bfda61a7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 1"",""aamgnrc1"":""2701 Golden Rain Rd"",""bd"":""2"",""fsbid"":""16701"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18555523"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""7897718788508722321"",""sqftrange"":""1000-1499"",""price"":""440000"",""sqft"":""1054"",""posting_url"":""http://www.yourrossmoorrealtor.com"",""mlong"":""-122.080991"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94595"",""mlat"":""37.880607"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrhinc1hqabln1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1960-1969"",""zestimate"":""446040"",""premieragent"":""no""}}","null","null","null","null"
"1572919198-9047","https://www.zillow.com/homes/walnut-creek-CA_rb/","","https://www.zillow.com/homedetails/1117-Leisure-Ln-APT-1-Walnut-Creek-CA-94595/18554339_zpid/","Walnut Creek, CA 94595","For sale","1117 Leisure Ln APT 1,","","","","","4","https://www.zillow.com/walnut-creek-ca/4_p/","","","1,081","2","2","$579,395","$579,000","Condo","1964","Other","Central","Condo","$808/month","$2,800/mo","9","8","9","{""targetDiv"":""gpt-ad-411daac3-1441-4089-bee0-c91f9e72d10c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 1"",""aamgnrc1"":""1117 Leisure Ln"",""bd"":""2"",""fsbid"":""13599"",""city"":""Walnut_Creek"",""proptp"":""cnd"",""pid"":""18554339"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""2404539083440969970"",""sqftrange"":""1000-1499"",""price"":""579000"",""sqft"":""1081"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/1117-leisure-ln-walnut-creek-94595/pid-2176762914?lead=MemberKey%3D373014%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.071756"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94595"",""mlat"":""37.861768"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7i568p1sivyd1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1960-1969"",""zestimate"":""579395"",""premieragent"":""no""}}","null","null","null","null"
