web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572902601-2706","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/community/monarch-at-soares-ranch/2085275336_zpid/","Union City, CA 94587","New construction","Buildable plan: Residence 5, Monarch at Soares Ranch,","","","","","1,976","3","4","$939,429","$953,236","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","6","3","7","{""targetDiv"":""gpt-ad-ec4b3a7f-8305-4f86-b1f8-790cf911e132"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" C8Q1HG"",""aamgnrc1"":""33495 Alvarado Niles Rd"",""bd"":""3"",""fsbid"":""12653"",""city"":""Union_City"",""proptp"":""twn"",""pid"":""2085275336"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""953236"",""sqft"":""1976"",""posting_url"":""http://www.drhorton.com/california/bay-area/union-city/monarch/floor-plans/residence-5.aspx"",""state"":""CA"",""mlong"":""-122.0366"",""cnty"":""Alameda"",""prange"":""900-999k"",""zip"":""94587"",""mlat"":""37.5908"",""plid"":""38077"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISmy4l5bw3f6jn1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""939429"",""premieragent"":""no"",""builderChatId"":""12653-812011"",""dma"":""37""}}","null","null","null","null"
"1572902578-2683","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/35580-Monterra-Ter-APT-101-Union-City-CA-94587/58877984_zpid/","Union City, CA 94587","For sale","35580 Monterra Ter APT 101,","","","","","1,013","2","2","$598,000","$598,000","Condo","2001","Electric","Wall","Condo","$465/month","$2,700/mo","5","3","7","{""targetDiv"":""gpt-ad-865d0599-cee8-4841-9a9f-f23acaf8dc17"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 101"",""aamgnrc1"":""35580 Monterra Ter"",""bd"":""2"",""fsbid"":""13698"",""city"":""Union_City"",""proptp"":""cnd"",""pid"":""58877984"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-6982038306946160560"",""sqftrange"":""1000-1499"",""price"":""598000"",""sqft"":""1013"",""posting_url"":""http://wenzhaoca.com"",""mlong"":""-122.011066"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94587"",""mlat"":""37.585702"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4grf5dqw6jt0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""598000"",""premieragent"":""no""}}","null","null","null","null"
"1572902501-2609","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/312-Riviera-Dr-Union-City-CA-94587/24919517_zpid/","Union City, CA 94587","For sale","312 Riviera Dr,","2","https://www.zillow.com/union-city-ca/2_p/","","","1,744","3","2","$1,092,126","$1,088,888","Single Family","1978","Forced air","Other","Single Family","6,155 sqft","$3,395/mo","5","3","7","{""targetDiv"":""gpt-ad-8cfa63be-1adc-46f5-a301-0dbeb552943c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""312 Riviera Dr"",""bd"":""3"",""fsbid"":""14311"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""24919517"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-3086921222340243454"",""sqftrange"":""1500-1999"",""price"":""1088888"",""sqft"":""1744"",""posting_url"":""http://www.remax.net"",""mlong"":""-122.001163"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94587"",""mlat"":""37.59402"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ilywve4xtax1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1092126"",""premieragent"":""no""}}","null","null","null","null"
"1572902696-2783","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/1069-Cantana-Ter-Union-City-CA-94587/2102651236_zpid/","Union City, CA 94587","For sale","1069 Cantana Ter,","","","","","null","4","null","$765,001","$765,000","Single Family","1997","Forced air","Central","Single Family","No Data","$3,300/mo","3","3","7","{""targetDiv"":""gpt-ad-dd22fc3b-1c0b-4b17-b7bf-53f97d9a3b6a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94587"",""aamgnrc1"":""1069 Cantana Ter"",""mlat"":""37.604062"",""bd"":""4"",""fsbid"":""14224"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr5lpe2re3epk0000000000.jpg"",""zusr"":""true"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""2102651236"",""price_band"":""z700"",""yrblt"":""1990-1999"",""zestimate"":""765001"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""2540950768612613494"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""765000"",""sqft"":""1612"",""posting_url"":""http://www.CalvinKam.com"",""mlong"":""-122.029648"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572902423-2561","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/2454-Balmoral-St-Union-City-CA-94587/24995244_zpid/","Union City, CA 94587","Pre-foreclosure / auction","2454 Balmoral St,","2","https://www.zillow.com/union-city-ca/2_p/","","","1,492","3","2","$729,105","$729,105","Single Family","1967","No Data","No Data","Single Family","7,148 sqft","null","6","3","7","{""targetDiv"":""gpt-ad-24b756b0-e58c-42db-bbe5-64e6f8fab3f9"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2454 Balmoral St"",""bd"":""3"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""24995244"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_foreclosure"",""zguidh"":""-7087504308952029421"",""sqftrange"":""1000-1499"",""price"":""838052"",""sqft"":""1492"",""posting_url"":"""",""mlong"":""-122.05837"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94587"",""mlat"":""37.598481"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqxe3zrwlw23v1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""838052"",""premieragent"":""no""}}","null","null","null","null"
"1572902707-2788","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/4271-Comet-Cir-Union-City-CA-94587/25000027_zpid/","Union City, CA 94587","For sale","4271 Comet Cir,","","","","","1,342","4","2","$639,947","$638,999","Townhouse","1972","Forced air","None","Townhouse","1,472 sqft","$2,875/mo","5","3","7","{""targetDiv"":""gpt-ad-78fbb595-4bb6-4f70-ae49-8b7c54156af1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4271 Comet Cir"",""bd"":""4"",""fsbid"":""16701"",""city"":""Union_City"",""proptp"":""twn"",""pid"":""25000027"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""6265450527986162619"",""sqftrange"":""1000-1499"",""price"":""638999"",""sqft"":""1342"",""posting_url"":""http://www.piabesthomes.com"",""mlong"":""-122.067005"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94587"",""mlat"":""37.585261"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jzitvaxg7rr1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""639947"",""premieragent"":""no""}}","null","null","null","null"
"1572902531-2637","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/community/union-city-sugarmill/2083704397_zpid/","Union City, CA 94587","New construction","Buildable plan: Plan 5, Union City - The Sugarmill,","","","","","1,849","3","2.5","$840,402","$849,990","Townhouse","2019","Forced air","Central","Townhouse","No Data","null","6","6","7","{""targetDiv"":""gpt-ad-d74e5e67-87cc-4434-81dc-23e011f358ac"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" K7NFT2"",""aamgnrc1"":""30710 Union City Blvd"",""bd"":""3"",""fsbid"":""14638"",""city"":""Union_City"",""proptp"":""twn"",""pid"":""2083704397"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""849990"",""sqft"":""1849"",""posting_url"":""https://www.cityventures.com/union-city/?utm_medium=Zillow&utm_source=Union+City&nhf_channel=6&nhf_listing_id=37967&nhf_listing_type=community&utm_term=comm_UnionCity-TheSugarmill&utm_campaign=Union+City%2FCA"",""state"":""CA"",""mlong"":""-122.081036"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94587"",""mlat"":""37.597592"",""plid"":""8810464"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISat01v1qu33r91000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""840402"",""premieragent"":""no"",""builderChatId"":""14638-787974"",""dma"":""37""}}","null","null","null","null"
"1572902621-2725","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/34891-Perry-Rd-Union-City-CA-94587/24918490_zpid/","Union City, CA 94587","Coming soon: Oct 31.","34891 Perry Rd,","","","","","1,374","4","2","$892,799","$845,000","Single Family","1965","No Data","Central","Single Family","6,000 sqft","$3,000/mo","3","3","7","{""targetDiv"":""gpt-ad-fa25ebcc-748f-40ae-9720-427d08d7c93f"",""slot"":""zillow/property_details/buy_comingsoon/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""34891 Perry Rd"",""bd"":""4"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""24918490"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_comingsoon"",""zguidh"":""-7548601916093379104"",""sqftrange"":""1000-1499"",""price"":""845000"",""sqft"":""1374"",""posting_url"":"""",""mlong"":""-122.020293"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94587"",""mlat"":""37.58269"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnetyg9q3zg8i0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""892799"",""premieragent"":""no""}}","null","null","null","null"
"1572902467-2587","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/100-Bolero-Plz-Union-City-CA-94587/24919662_zpid/","Union City, CA 94587","New construction","100 Bolero Plz,","2","https://www.zillow.com/union-city-ca/2_p/","","","1,135","3","2","$718,005","$718,000","Condo","1985","Forced air","Central","Condo","$315/month","$2,850/mo","5","3","7","{""targetDiv"":""gpt-ad-8c3bee2e-37d1-445f-ac31-bfdc1ddf9dfe"",""slot"":""zillow/property_details/buy_new_home/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94587"",""aamgnrc1"":""100 Bolero Plz"",""mlat"":""37.5928"",""bd"":""3"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfsmooj77szcx0000000000.jpg"",""zusr"":""true"",""city"":""Union_City"",""proptp"":""cnd"",""pid"":""24919662"",""price_band"":""z700"",""yrblt"":""1980-1989"",""zestimate"":""718005"",""zestibuck"":""700-799k"",""listtp"":""buy_new_home"",""zguidh"":""3586537878207134868"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""718000"",""sqft"":""1135"",""posting_url"":""http://www.homesbycarlo.com"",""mlong"":""-122.004418"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572902597-2700","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/2541-Franklin-Ave-143-Union-City-CA-94587/2082294254_zpid/","Union City, CA 94587","For sale","2541 Franklin Ave # 143,","","","","","1,014","1","1","$123,532","$121,000","Mobile / Manufactured","No Data","No Data","No Data","Mobile / Manufactured","$119","null","6","3","7","{""targetDiv"":""gpt-ad-6d4e9936-fab0-44ad-ad82-9ad25e81d253"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 143"",""zip"":""94587"",""aamgnrc1"":""2541 Franklin Ave"",""mlat"":""37.603032"",""bd"":""1"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2sls0uopqf10000000000.jpg"",""zusr"":""true"",""city"":""Union_City"",""proptp"":""mm"",""pid"":""2082294254"",""price_band"":""z100"",""zestimate"":""123532"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-6858562530314916953"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""121000"",""sqft"":""1014"",""posting_url"":"""",""mlong"":""-122.06134"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572902615-2719","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/community/monarch-at-soares-ranch/2085275337_zpid/","Union City, CA 94587","New construction","Buildable plan: Residence 2E, Monarch at Soares Ranch,","","","","","1,451","2","3","$799,892","$808,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","6","3","7","{""targetDiv"":""gpt-ad-66686636-4610-4d4d-910d-c6e7abb582a3"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" PGG6VW"",""aamgnrc1"":""33495 Alvarado Niles Rd"",""bd"":""2"",""fsbid"":""12653"",""city"":""Union_City"",""proptp"":""twn"",""pid"":""2085275337"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""808880"",""sqft"":""1451"",""posting_url"":""http://www.drhorton.com/california/bay-area/union-city/monarch/floor-plans/residence-2e.aspx"",""state"":""CA"",""mlong"":""-122.0366"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94587"",""mlat"":""37.5908"",""plid"":""38077"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6qnl6ffr8xk41000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Iron_Triangle"",""yrblt"":""2010-2019"",""zestimate"":""799892"",""premieragent"":""no"",""builderChatId"":""12653-812011"",""dma"":""37""}}","null","null","null","null"
"1572902569-2672","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/461-Riviera-Dr-Union-City-CA-94587/24920668_zpid/","Union City, CA 94587","For sale","461 Riviera Dr,","","","","","2,771","5","3","$1,108,564","$1,099,999","Single Family","1990","Forced air","Central","Single Family","0.52 acres","$4,150/mo","5","3","7","{""targetDiv"":""gpt-ad-a36e08da-1ace-46f2-84e1-b5b0ef7a5d5e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""461 Riviera Dr"",""bd"":""5"",""fsbid"":""14106"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""24920668"",""lot"":""4"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-1046314246238080814"",""sqftrange"":""2500-2999"",""price"":""1099999"",""sqft"":""2771"",""posting_url"":""http://www.FohlAndHernandez.com"",""mlong"":""-121.998972"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94587"",""mlat"":""37.597468"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnq6pfkxbreya0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1108564"",""premieragent"":""no""}}","null","null","null","null"
"1572902448-2577","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/1207-I-St-Union-City-CA-94587/25003181_zpid/","Union City, CA 94587","For sale","1207 I St,","2","https://www.zillow.com/union-city-ca/2_p/","","","1,281","4","2","$846,243","$859,000","Single Family","1928","Forced air","None","Single Family","0.25 acres","$3,200/mo","3","3","7","{""targetDiv"":""gpt-ad-6af4be2a-9f12-48f8-b704-4baca03786cb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1207 I St"",""bd"":""4"",""fsbid"":""14106"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""25003181"",""lot"":""3"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3177712767930069514"",""sqftrange"":""1000-1499"",""price"":""859000"",""sqft"":""1281"",""posting_url"":"""",""mlong"":""-122.02249"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94587"",""mlat"":""37.594925"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6itwkfjv41ad1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1920-1939"",""zestimate"":""846243"",""premieragent"":""no""}}","null","null","null","null"
"1572902408-2549","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/4632-Darcelle-Ct-Union-City-CA-94587/25001578_zpid/","Union City, CA 94587","Pre-foreclosure","4632 Darcelle Ct,","2","https://www.zillow.com/union-city-ca/2_p/","","","null","--","null","$816,656","$816,656","Single Family","1976","No Data","No Data","Single Family","8,927 sqft","null","9","6","7","{""targetDiv"":""gpt-ad-0fb718ee-1bd9-43cd-aa01-8607e01a362e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94587"",""aamgnrc1"":""4632 Darcelle Ct"",""mlat"":""37.581491"",""bd"":""0"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""25001578"",""price_band"":""z900"",""yrblt"":""1970-1979"",""zestimate"":""938686"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""7667826317431344079"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""938686"",""sqft"":""1880"",""posting_url"":"""",""mlong"":""-122.080037"",""state"":""CA"",""prange"":""900-999k""}}","null","null","null","null"
"1572902589-2693","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/34819-Starling-Dr-APT-1-Union-City-CA-94587/2082317913_zpid/","Union City, CA 94587","For sale","34819 Starling Dr APT 1,","","","","","810","2","1","$432,753","$425,000","Condo","1972","Forced air","No Data","Condo","$380/month","null","3","3","7","{""targetDiv"":""gpt-ad-60cf20c8-cff1-43a9-9205-f66eea36d086"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 1"",""aamgnrc1"":""34819 Starling Dr"",""bd"":""2"",""fsbid"":""14106"",""city"":""Union_City"",""proptp"":""cnd"",""pid"":""2082317913"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-4460511853311888502"",""sqftrange"":""500-999"",""price"":""425000"",""sqft"":""810"",""posting_url"":""http://cerdazein.com"",""mlong"":""-122.019422"",""state"":""CA"",""prange"":""400-449k"",""zip"":""94587"",""mlat"":""37.583317"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj71pz65cvg5i0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""432753"",""premieragent"":""no""}}","null","null","null","null"
"1572902386-2537","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/10-Th-St-Union-City-CA-94587/2087869614_zpid/","Union City, CA 94587","Lot/land","10 Th St,","","","3","https://www.zillow.com/union-city-ca/3_p/","null","4,896 sqft","null","None","$310,000","null","null","null","null","null","null","$2,250/mo","6","3","7","{""targetDiv"":""gpt-ad-ae980a3d-15aa-4201-b77e-88aef067ca0b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94587"",""aamgnrc1"":""10 Th St"",""mlat"":""37.5914"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3zvew51sabuk0000000000.jpg"",""zusr"":""true"",""city"":""Union_City"",""proptp"":""lot"",""pid"":""2087869614"",""lot"":""1"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5172969423021767741"",""premieragent"":""no"",""price"":""310000"",""posting_url"":"""",""mlong"":""-122.0487"",""state"":""CA"",""prange"":""300-349k""}}","null","null","null","null"
"1572902691-2780","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/4313-Solano-Way-Union-City-CA-94587/24999349_zpid/","Union City, CA 94587","For sale","4313 Solano Way,","","","","","1,632","4","3","$534,519","$529,888","Condo","1972","Forced air","None","Condo","$247/month","$3,300/mo","6","6","7","{""targetDiv"":""gpt-ad-8dcaa729-2546-4cd2-8b69-200e5672aa7e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4313 Solano Way"",""bd"":""4"",""fsbid"":""13599"",""city"":""Union_City"",""proptp"":""cnd"",""pid"":""24999349"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""5900036628566503273"",""sqftrange"":""1500-1999"",""price"":""529888"",""sqft"":""1632"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/4313-solano-way-union-city-94587/pid-2191144121?lead=MemberKey%3D453930%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.078588"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94587"",""mlat"":""37.591032"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrltq54fxamx71000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1970-1979"",""zestimate"":""534519"",""premieragent"":""no""}}","null","null","null","null"
"1572902673-2767","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/32701-Empire-St-Union-City-CA-94587/25053627_zpid/","Union City, CA 94587","For sale","32701 Empire St,","","","","","1,909","3","3","$1,072,888","$1,050,000","Single Family","1985","Forced air","No Data","Single Family","7,348 sqft","$3,450/mo","5","6","7","{""targetDiv"":""gpt-ad-d2d7407a-b017-460e-93b2-700bbcb7335f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""32701 Empire St"",""bd"":""3"",""fsbid"":""14106"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""25053627"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7712527907009139448"",""sqftrange"":""1500-1999"",""price"":""1050000"",""sqft"":""1909"",""posting_url"":""http://www.bocageteam.com"",""mlong"":""-122.069488"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94587"",""mlat"":""37.576486"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7artizllhay60000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1072888"",""premieragent"":""no""}}","null","null","null","null"
"1572902472-2590","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/4728-Loretta-Way-Union-City-CA-94587/25000472_zpid/","Union City, CA 94587","Pre-foreclosure","4728 Loretta Way,","2","https://www.zillow.com/union-city-ca/2_p/","","","null","4","null","$789,464","$789,464","Single Family","1973","No Data","No Data","Single Family","6,200 sqft","null","9","6","7","{""targetDiv"":""gpt-ad-9c3ea82d-a170-4889-acc1-f50a437369a8"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4728 Loretta Way"",""bd"":""4"",""city"":""Union_City"",""proptp"":""sfh"",""pid"":""25000472"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""247499872622670532"",""sqftrange"":""1500-1999"",""price"":""907431"",""sqft"":""1566"",""posting_url"":"""",""mlong"":""-122.078361"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94587"",""mlat"":""37.578494"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1970-1979"",""zestimate"":""907431"",""premieragent"":""no""}}","null","null","null","null"
"1572902555-2659","https://www.zillow.com/homes/union-city-CA_rb/","","https://www.zillow.com/homedetails/4452-Viejo-Way-Union-City-CA-94587/24999302_zpid/","Union City, CA 94587","For sale","4452 Viejo Way,","","","","","875","2","1","$505,016","$499,999","Townhouse","1970","Forced air","None","Townhouse","1,838 sqft","$2,400/mo","6","6","7","No Data","null","null","null","null"
