web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href
"1572910477-7366","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/132-Hackamore-Ln-Fremont-CA-94539/25027806_zpid/","Fremont, CA 94539","For sale","132 Hackamore Ln,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","740","2","2","$625,002","$625,000","Condo","1983","Forced air","Central","Condo","$414/month","$2,700/mo","10","8","9","{""targetDiv"":""gpt-ad-6475f911-7103-42e5-8557-a03179fcece8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""132 Hackamore Ln"",""bd"":""2"",""fsbid"":""14106"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""25027806"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-851705814878032128"",""sqftrange"":""500-999"",""price"":""625000"",""sqft"":""740"",""posting_url"":"""",""mlong"":""-121.925614"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94539"",""mlat"":""37.485525"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7u2km7u2bcvd0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Warm_Springs"",""yrblt"":""1980-1989"",""zestimate"":""625002"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","","","","","","","","","",""
"1572910402-7328","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/47141-Male-Ter-Fremont-CA-94539/2128058928_zpid/","Fremont, CA 94539","For sale","47141 Male Ter,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","926","2","2","$689,775","$689,900","Condo","1987","Radiant","None","Condo","$303/month","$2,700/mo","10","8","9","{""targetDiv"":""gpt-ad-da8fc906-8127-49c7-81f6-0510cb833971"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""47141 Male Ter"",""bd"":""2"",""fsbid"":""14106"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""2128058928"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4816366819910432573"",""sqftrange"":""500-999"",""price"":""689900"",""sqft"":""926"",""posting_url"":"""",""mlong"":""-121.923055"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94539"",""mlat"":""37.486358"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3na6i0b2gpzn1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Warm_Springs"",""yrblt"":""1980-1989"",""zestimate"":""689775"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","","","","","","","","","",""
"1572910584-7418","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/6106-Sienna-Ter-51-Fremont-CA-94555/25059555_zpid/","Fremont, CA 94555","For sale","6106 Sienna Ter # 51,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","2,023","4","4","null","$1,168,000","Condo","1992","Forced air","Central","Condo","$165/month","$3,235/mo","8","8","10","{""targetDiv"":""gpt-ad-a26f61e6-91df-4ad2-b6cd-b0a06892c54d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 51"",""aamgnrc1"":""6106 Sienna Ter"",""bd"":""4"",""fsbid"":""4383"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""25059555"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6558242890743444243"",""sqftrange"":""2000-2499"",""price"":""1168000"",""sqft"":""2023"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/fremont/6106-sienna-terrace-51/pid_31333053/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.062196"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94555"",""mlat"":""37.55689"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ey1l5rqi7yb0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Ardenwood"",""yrblt"":""1990-1999"",""zestimate"":""1151983"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","","","","","","","","","","","",""
"1572910378-7315","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/37444-Joseph-St-Fremont-CA-94536/25006579_zpid/","Fremont, CA 94536","For sale","37444 Joseph St,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","884","2","1","$1,004,789","$995,888","Single Family","1925","Forced air","Central","Single Family","8,955 sqft","$2,800/mo","7","7","8","{""targetDiv"":""gpt-ad-9bddc965-a172-4e83-8520-0a2b88985ec2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""37444 Joseph St"",""bd"":""2"",""fsbid"":""14106"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""25006579"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-3507919407114836697"",""sqftrange"":""500-999"",""price"":""995888"",""sqft"":""884"",""posting_url"":"""",""mlong"":""-122.006515"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94536"",""mlat"":""37.555375"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ydbi83p0jw41000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Centerville"",""yrblt"":""1920-1939"",""zestimate"":""1004789"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","","","","","","","","","",""
"1572910365-7308","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/1981-Mandan-Ct-Fremont-CA-94539/299072198_zpid/","Fremont, CA 94539","Lot/land","1981 Mandan Ct,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","null","0.38 acres","null","None","$1,185,000","null","null","null","null","null","null","null","7","8","9","{""targetDiv"":""gpt-ad-f56f5f9a-5fb3-407a-8939-9196de7ac937"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94539"",""aamgnrc1"":""1981 Mandan Ct"",""mlat"":""37.506143"",""bd"":""0"",""fsbid"":""16701"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkfmdm0ji0x20000000000.jpg"",""zusr"":""true"",""city"":""Fremont"",""proptp"":""lot"",""pid"":""299072198"",""hood"":""Weibel"",""lot"":""3"",""listtp"":""buy_agent"",""zguidh"":""5735504137263611939"",""premieragent"":""no"",""price"":""1185000"",""posting_url"":""http://www.rowenahomes.info"",""mlong"":""-121.933924"",""state"":""CA"",""prange"":""1-1_499m""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","","","","","","","","","",""
"1572911514-7723","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/39016-Blacow-Rd-Fremont-CA-94538/25043693_zpid/","Fremont, CA 94538","For sale","39016 Blacow Rd,","","","","","","","","","1,269","3","2","$898,496","$888,000","Single Family","1961","Forced air","Central","Single Family","7,126 sqft","$3,100/mo","8","6","7","{""targetDiv"":""gpt-ad-a0079033-c836-439e-a2b8-4ac215869bde"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""39016 Blacow Rd"",""bd"":""3"",""fsbid"":""16701"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""25043693"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-1299527726468028028"",""sqftrange"":""1000-1499"",""price"":""888000"",""sqft"":""1269"",""posting_url"":""http://www.RaziProperties.com"",""mlong"":""-121.997749"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94538"",""mlat"":""37.536496"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0tim5d3buvz0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Sundale"",""yrblt"":""1960-1969"",""zestimate"":""898496"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","",""
"1572910674-7463","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/community/innovation-fuse/2087796334_zpid/","Fremont, CA 94538","New construction","Buildable plan: Residence 1, Innovation   Fuse,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","1,273","2","2.5","None","$813,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","6","7","{""targetDiv"":""gpt-ad-09f4fe43-0427-471b-8ca5-8ea296236b2a"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 144BBH"",""aamgnrc1"":""44969 Insight St"",""bd"":""2"",""fsbid"":""11527"",""city"":""Fremont"",""proptp"":""twn"",""pid"":""2087796334"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""813880"",""sqft"":""1273"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/fremont/innovation/fuse?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_innovation-fuse"",""state"":""CA"",""mlong"":""-121.946"",""cnty"":""Alameda"",""prange"":""800-899k"",""zip"":""94538"",""mlat"":""37.5028"",""plid"":""2135989"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISe0tiuj5trj9f1000000000.jpg"",""zusr"":""true"",""hood"":""East_Industrial"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815749"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","","","","","","","","","","","",""
"1572911500-7720","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/community/theory-at-innovation/2085742413_zpid/","Fremont, CA 94538","New construction","Buildable plan: Plan 3, Theory at Innovation,","","","","","","","","","1,528","3","2","$981,819","$975,000","Condo","2019","No Data","No Data","Condo","No Data","null","9","6","7","{""targetDiv"":""gpt-ad-cea0a10c-b71b-41ec-99c4-03c79f72ef5e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" TNC680"",""aamgnrc1"":""44851 S Grimmer Blvd"",""bd"":""3"",""fsbid"":""13022"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""2085742413"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""975000"",""sqft"":""1528"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/fremont/theory-at-innovation/plan-3/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=522758&nhf_listing_type=plan&utm_term=plan_Plan3&utm_campaign=Fremont%2FCA"",""state"":""CA"",""mlong"":""-121.945361"",""cnty"":""Alameda"",""prange"":""900-999k"",""zip"":""94538"",""mlat"":""37.502433"",""plid"":""40512"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS337y1xy9idxu1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""East_Industrial"",""yrblt"":""2010-2019"",""zestimate"":""981819"",""premieragent"":""no"",""builderChatId"":""13022-807129"",""dma"":""37""}}","null","null","null","null","","","","","","","","","","","","","",""
"1572910929-7585","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/community/centerville-station/2083859262_zpid/","Fremont, CA 94536","New construction","Buildable plan: Residence 1, Centerville Station,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","1,226","2","2.5","$801,841","$809,880","Townhouse","2019","Forced air","Central","Townhouse","No Data","null","9","7","8","{""targetDiv"":""gpt-ad-359d5ba1-319b-4bd8-acf7-6c3203c18d91"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" D6KBB"",""aamgnrc1"":""3582 Peralta Blvd"",""bd"":""2"",""fsbid"":""15528"",""city"":""Fremont"",""proptp"":""twn"",""pid"":""2083859262"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""809880"",""sqft"":""1226"",""posting_url"":""http://www.thecentervillestation.com/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=37057&nhf_listing_type=community&utm_term=comm_CentervilleStation&utm_campaign=Fremont%2FCA"",""state"":""CA"",""mlong"":""-122.002807"",""cnty"":""Alameda"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94536"",""mlat"":""37.559409"",""plid"":""10843617"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISijqgjkl2317a0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Centerville"",""yrblt"":""2010-2019"",""zestimate"":""801841"",""premieragent"":""no"",""builderChatId"":""15528-786204"",""dma"":""37""}}","null","null","null","null","","","","","","","","","","","","","",""
"1572910232-7243","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/35350-Ardo-Ct-Fremont-CA-94536/25050002_zpid/","Fremont, CA 94536","Pre-foreclosure / auction","35350 Ardo Ct,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","null","4","null","$907,001","$907,001","Single Family","1965","No Data","No Data","Single Family","7,691 sqft","null","6","8","10","{""targetDiv"":""gpt-ad-b582cc18-6029-420e-abd2-88ef35ac49cd"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""35350 Ardo Ct"",""bd"":""4"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""25050002"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-8412705783027969609"",""sqftrange"":""1000-1499"",""price"":""1042530"",""sqft"":""1399"",""posting_url"":"""",""mlong"":""-122.031116"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94536"",""mlat"":""37.565967"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Cabrillo"",""yrblt"":""1960-1969"",""zestimate"":""1042530"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","NEXT","https://www.zillow.com/fremont-ca/8_p/","","","","","","","",""
"1572910238-7246","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/38627-Cherry-Ln-APT-90-Fremont-CA-94536/2082428760_zpid/","Fremont, CA 94536","For sale","38627 Cherry Ln APT 90,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","799","2","1","$476,291","$468,888","Condo","1974","No Data","Central","Condo","$405/month","$2,395/mo","6","7","8","{""targetDiv"":""gpt-ad-8f090eb5-c916-40ba-930a-22fccd48e16f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 90"",""aamgnrc1"":""38627 Cherry Ln"",""bd"":""2"",""fsbid"":""13862"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""2082428760"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""4281542107623936917"",""sqftrange"":""500-999"",""price"":""468888"",""sqft"":""799"",""posting_url"":"""",""mlong"":""-121.972366"",""state"":""CA"",""prange"":""450-499k"",""zip"":""94536"",""mlat"":""37.565504"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3ne9r0ht8y661000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Cherry-Guardino"",""yrblt"":""1970-1979"",""zestimate"":""476291"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","NEXT","https://www.zillow.com/fremont-ca/8_p/","","","","","","","",""
"1572909971-7110","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/44819-S-Grimmer-Blvd-UNIT-1004-Fremont-CA-94538/2084717985_zpid/","Fremont, CA 94538","New construction","44819 S Grimmer Blvd UNIT 1004,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","2,176","3","3","$1,047,451","$1,046,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","6","7","{""targetDiv"":""gpt-ad-4861bcc8-bf43-49c0-a3cf-2136b92b5b39"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 1004"",""aamgnrc1"":""44819 S Grimmer Blvd"",""bd"":""3"",""fsbid"":""11527"",""city"":""Fremont"",""proptp"":""twn"",""pid"":""2084717985"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""1046880"",""sqft"":""2176"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/fremont/innovation/revo?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_innovation-revo"",""state"":""CA"",""mlong"":""-121.946"",""cnty"":""Napa"",""prange"":""1-1_499m"",""zip"":""94538"",""mlat"":""37.5028"",""plid"":""2135988"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7i9x7y6bk2pk1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""East_Industrial"",""yrblt"":""2010-2019"",""zestimate"":""1047451"",""premieragent"":""no"",""builderChatId"":""11527-815771"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","NEXT","https://www.zillow.com/fremont-ca/7_p/","NEXT","https://www.zillow.com/fremont-ca/8_p/","NEXT","https://www.zillow.com/fremont-ca/9_p/","","","","","",""
"1572910564-7408","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/3695-Stevenson-Blvd-C328-Fremont-CA-94538/25042031_zpid/","Fremont, CA 94538","For sale","3695 Stevenson Blvd # C328,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","721","1","1","null","$458,000","Condo","1991","Baseboard","Wall","Condo","$354/month","$2,300/mo","7","6","7","{""targetDiv"":""gpt-ad-fcaa5f32-035c-42aa-9c06-6d1e012e81d0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" C328"",""aamgnrc1"":""3695 Stevenson Blvd"",""bd"":""1"",""fsbid"":""4383"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""25042031"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-668599309621617049"",""sqftrange"":""500-999"",""price"":""458000"",""sqft"":""721"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/fremont/3695-stevenson-blvd-c328/pid_32838673/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.973292"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94538"",""mlat"":""37.543495"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfk0e3cvyq4yb0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Downtown"",""yrblt"":""1990-1999"",""zestimate"":""458509"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","","","","","","","","","","","",""
"1572911220-7663","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/363-Morengo-Way-Fremont-CA-94539/25025302_zpid/","Fremont, CA 94539","For sale","363 Morengo Way,","","","3","https://www.zillow.com/fremont-ca/3_p/","","","","","1,234","3","2","$1,232,931","$1,199,800","Single Family","1961","Forced air","No Data","Single Family","5,998 sqft","$3,373/mo","10","8","9","{""targetDiv"":""gpt-ad-f07699d5-0d3a-4250-9d07-1c7cca6b0cb5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""363 Morengo Way"",""bd"":""3"",""fsbid"":""14106"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""25025302"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""3649008378288179496"",""sqftrange"":""1000-1499"",""price"":""1199800"",""sqft"":""1234"",""posting_url"":""http://TimothyCrofton.com"",""mlong"":""-121.920703"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94539"",""mlat"":""37.484299"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkbra8qw3n730000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Warm_Springs"",""yrblt"":""1960-1969"",""zestimate"":""1232931"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","",""
"1572910595-7422","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/5181-Fairbanks-Cmn-Fremont-CA-94555/25057790_zpid/","Fremont, CA 94555","For sale","5181 Fairbanks Cmn,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","950","2","2","$637,963","$749,000","Condo","1989","Forced air","Central","Condo","$275/month","$2,750/mo","9","8","10","{""targetDiv"":""gpt-ad-70a7626b-b850-463e-993c-f825aed2c1cf"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5181 Fairbanks Cmn"",""bd"":""2"",""fsbid"":""13601"",""city"":""Fremont"",""proptp"":""cnd"",""pid"":""25057790"",""lot"":""7"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""stale"":""yes"",""zguidh"":""-1481767698234220577"",""sqftrange"":""500-999"",""price"":""749000"",""sqft"":""950"",""posting_url"":""http://greathomes.org/mls/property/21926434"",""mlong"":""-122.050194"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94555"",""mlat"":""37.561214"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcmtnky43dy11000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Ardenwood"",""yrblt"":""1980-1989"",""zestimate"":""733291"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/fremont-ca/6_p/","","","","","","","","","","","",""
"1572910852-7547","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/53-Verde-Way-Fremont-CA-94539/99375280_zpid/","Fremont, CA 94539","For sale","53 Verde Way,","","","","","","","5","https://www.zillow.com/fremont-ca/5_p/","3,020","4","4","$2,124,029","$2,199,888","Single Family","2010","Forced air","Central","Single Family","8,093 sqft","$6,438/mo","9","10","10","{""targetDiv"":""gpt-ad-d7100095-8297-4917-b20c-7701552da4fb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""53 Verde Way"",""bd"":""4"",""fsbid"":""14311"",""city"":""Fremont"",""proptp"":""sfh"",""pid"":""99375280"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3927791613262911167"",""sqftrange"":""3000-3499"",""price"":""2199888"",""sqft"":""3020"",""posting_url"":""http://www.mattiewei.com"",""mlong"":""-121.922039"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94539"",""mlat"":""37.53903"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3j75gatyqvg61000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Mission_San_Jose"",""yrblt"":""2010-2019"",""zestimate"":""2124029"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","",""
"1572911377-7694","https://www.zillow.com/homes/fremont-CA_rb/","","https://www.zillow.com/homedetails/711-Old-Canyon-Rd-SPC-45-Fremont-CA-94536/2082196234_zpid/","Fremont, CA 94536","For sale","711 Old Canyon Rd SPC 45,","2","https://www.zillow.com/fremont-ca/2_p/","","","","","","","900","2","2","$69,000","$69,000","Mobile / Manufactured","No Data","Forced air","Other","Mobile / Manufactured","$77","null","6","7","8","{""targetDiv"":""gpt-ad-5aed44ea-0488-4f5d-a569-57fbcb8845fb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 45"",""aamgnrc1"":""711 Old Canyon Rd"",""bd"":""2"",""fsbid"":""15263"",""city"":""Fremont"",""proptp"":""mm"",""pid"":""2082196234"",""zestibuck"":""0-100k"",""listtp"":""buy_agent"",""zguidh"":""6910598323682765469"",""sqftrange"":""500-999"",""price"":""69000"",""sqft"":""900"",""posting_url"":"""",""mlong"":""-121.96665"",""state"":""CA"",""prange"":""0-100k"",""zip"":""94536"",""mlat"":""37.578347"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS76sn3zongt4m0000000000.jpg"",""zusr"":""true"",""price_band"":""z0"",""hood"":""Canyon_Heights"",""zestimate"":""69000"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","",""
