web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901382-1958","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/732-Brookside-Ln-Rio-Vista-CA-94571/69027931_zpid/","Rio Vista, CA 94571","For sale","732 Brookside Ln,","2","https://www.zillow.com/rio-vista-ca/2_p/","","","2,031","2","2","$442,773","$448,800","Single Family","2006","Other","Central","Single Family","6,098 sqft","$2,050/mo","4","3","5","{""targetDiv"":""gpt-ad-4bdd7391-80e9-482d-92fd-2e74b49c274b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""732 Brookside Ln"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""69027931"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-8690408176508990024"",""sqftrange"":""2000-2499"",""price"":""448800"",""sqft"":""2031"",""posting_url"":""http://greathomes.org/mls/property/21912370"",""mlong"":""-121.706549"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94571"",""mlat"":""38.186891"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzng4sxdhy8dq0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2000-2009"",""zestimate"":""442773"",""premieragent"":""no""}}","null","null","null","null"
"1572901453-2030","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/343-Peachtree-Ln-Rio-Vista-CA-94571/63107321_zpid/","Rio Vista, CA 94571","Auction","343 Peachtree Ln,","","","","","null","2","null","null","$326,172","Single Family","2004","Other","Central","Single Family","4,791 sqft","$1,850/mo","4","3","5","{""targetDiv"":""gpt-ad-9e74b0ba-1da2-4c9a-8b7e-af77f9029871"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""343 Peachtree Ln"",""bd"":""2"",""fsbid"":""16886"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""63107321"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""-1675198353679490420"",""sqftrange"":""1000-1499"",""price"":""326172"",""sqft"":""1439"",""posting_url"":""http://www.auction.com/details/343-peachtree-ln-rio-vista-ca-94571-2805803-e_13911a/?utm_source=zillow&utm_medium=feed&utm_campaign=trustee&utm_name=partner"",""mlong"":""-121.705809"",""state"":""CA"",""park"":""yes"",""prange"":""300-349k"",""zip"":""94571"",""mlat"":""38.179213"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3v0cmuqz20ia1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""2000-2009"",""zestimate"":""350823"",""premieragent"":""no""}}","null","null","null","null"
"1572901532-2117","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/359-Silver-Ridge-Dr-Rio-Vista-CA-94571/178388165_zpid/","Rio Vista, CA 94571","For sale","359 Silver Ridge Dr,","","","","","1,462","2","2","$387,909","$394,000","Single Family","2016","Forced air","Other","Single Family","4,791 sqft","$1,875/mo","4","3","5","{""targetDiv"":""gpt-ad-d50cc42c-8be9-4ed9-971a-243eebc0b224"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""359 Silver Ridge Dr"",""bd"":""2"",""fsbid"":""14311"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""178388165"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""-5023142762159321448"",""sqftrange"":""1000-1499"",""price"":""394000"",""sqft"":""1462"",""posting_url"":""http://www.michellepanizzasellshomes.net"",""mlong"":""-121.704257"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94571"",""mlat"":""38.175152"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3nairfe0kcwl0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""2010-2019"",""zestimate"":""387909"",""premieragent"":""no""}}","null","null","null","null"
"1572901428-2003","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/610-California-St-Rio-Vista-CA-94571/15651790_zpid/","Rio Vista, CA 94571","Pre-foreclosure","610 California St,","2","https://www.zillow.com/rio-vista-ca/2_p/","","","null","4","null","$488,578","$488,578","Single Family","1949","Other","Central","Single Family","6,534 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-f1df68a0-4e1a-44db-98af-f48a04502a07"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""610 California St"",""bd"":""4"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""15651790"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""-4137243877624146501"",""sqftrange"":""3000-3499"",""price"":""525353"",""sqft"":""3300"",""posting_url"":"""",""mlong"":""-121.69631"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94571"",""mlat"":""38.158008"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISxbboe8cajtrr1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1940-1959"",""zestimate"":""525353"",""premieragent"":""no""}}","null","null","null","null"
"1572901620-2215","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/335-Spyglass-Dr-Rio-Vista-CA-94571/61734231_zpid/","Rio Vista, CA 94571","For sale","335 Spyglass Dr,","","","","","2,567","3","3","$559,001","$559,000","Single Family","2003","Other","Central","Single Family","6,534 sqft","$2,700/mo","4","3","5","{""targetDiv"":""gpt-ad-fb219201-1351-4b48-826b-9ae196e835aa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""335 Spyglass Dr"",""bd"":""3"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""61734231"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""4737756583216283201"",""sqftrange"":""2500-2999"",""price"":""559000"",""sqft"":""2567"",""posting_url"":""http://greathomes.org/mls/property/21927654"",""mlong"":""-121.720326"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94571"",""mlat"":""38.186584"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvc1a0azhx1hr0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""559001"",""premieragent"":""no""}}","null","null","null","null"
"1572901590-2180","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/760-S-2nd-Beach-Dr-St-Rio-Vista-CA-94571/2082309475_zpid/","Rio Vista, CA 94571","For sale","760 S 2nd/ Beach Dr St,","","","","","768","2","1","$335,281","$340,000","Single Family","1955","No Data","No Data","Single Family","7,405 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-1b790350-b929-4046-8512-de7d2e97e02c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""760 S 2nd/ Beach Dr St"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082309475"",""lot"":""2"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""8666949627076459456"",""sqftrange"":""500-999"",""price"":""340000"",""sqft"":""768"",""posting_url"":""http://greathomes.org/mls/property/21926913"",""mlong"":""-121.755283"",""state"":""CA"",""prange"":""300-349k"",""zip"":""94571"",""mlat"":""38.203946"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbxb4841tputf1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1940-1959"",""zestimate"":""335281"",""premieragent"":""no""}}","null","null","null","null"
"1572901596-2188","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/community/summit-at-liberty/2082796868_zpid/","Rio Vista, CA 94571","New construction","Buildable plan: Lincoln, Summit at Liberty,","","","","","1,837","3","2","$415,190","$419,900","Single Family","2019","Forced air","Central","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-17e57b23-ea56-42a9-90ab-52cd73da5f0f"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" YAELZE"",""aamgnrc1"":""2079 Stars Dr"",""bd"":""3"",""fsbid"":""14987"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082796868"",""zestibuck"":""400-449k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""419900"",""sqft"":""1837"",""posting_url"":""https://www.lgihomes.com/community.cfm?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=56407&nhf_listing_type=community&utm_term=comm_SummitatLiberty&utm_campaign=Rio+Vista%2FCA&id=summitatliberty"",""state"":""CA"",""mlong"":""-121.714574"",""cnty"":""Santa_Clara"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94571"",""mlat"":""38.199849"",""plid"":""28740799"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7e640l1sva4s0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Ventura"",""yrblt"":""2010-2019"",""zestimate"":""415190"",""premieragent"":""no"",""builderChatId"":""14987-824092"",""dma"":""37""}}","null","null","null","null"
"1572901547-2137","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/222-Summerset-Dr-3049-Rio-Vista-CA-94571/2082374406_zpid/","Rio Vista, CA 94571","For sale","222 Summerset Dr # 3049,","","","","","2,091","2","3","$534,886","$544,902","Single Family","2019","No Data","No Data","Single Family","6,969 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-ec0a706a-8694-467e-8188-ab12420e995b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 3049"",""aamgnrc1"":""222 Summerset Dr"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082374406"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""2147029508723772528"",""sqftrange"":""2000-2499"",""price"":""544902"",""sqft"":""2091"",""posting_url"":""http://greathomes.org/mls/property/21926752"",""mlong"":""-121.704398"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94571"",""mlat"":""38.180692"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbtsad4t7s54v0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""534886"",""premieragent"":""no""}}","null","null","null","null"
"1572901435-2012","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/255-Bella-Vista-Way-Rio-Vista-CA-94571/69026862_zpid/","Rio Vista, CA 94571","For sale","255 Bella Vista Way,","2","https://www.zillow.com/rio-vista-ca/2_p/","","","1,420","2","2","$349,129","$352,000","Single Family","2005","Other","Central","Single Family","4,356 sqft","$1,803/mo","4","3","5","{""targetDiv"":""gpt-ad-aa6fe2c9-bc98-4ac5-8052-00e3749d54a2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""255 Bella Vista Way"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""69026862"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""6122178608558841504"",""sqftrange"":""1000-1499"",""price"":""352000"",""sqft"":""1420"",""posting_url"":""http://greathomes.org/mls/property/21920092"",""mlong"":""-121.714714"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94571"",""mlat"":""38.188776"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz7w9amth7mrk0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""2000-2009"",""zestimate"":""349129"",""premieragent"":""no""}}","null","null","null","null"
"1572901471-2051","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/2250-Stars-Dr-Rio-Vista-CA-94571/300242866_zpid/","Rio Vista, CA 94571","For sale","2250 Stars Dr,","","","","","1,255","2","2","$379,537","$382,900","Single Family","2019","No Data","No Data","Single Family","5,336 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-baa85963-acaf-4368-8b44-63174c1d0f8a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2250 Stars Dr"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""300242866"",""lot"":""1"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""-2163214536047323791"",""sqftrange"":""1000-1499"",""price"":""382900"",""sqft"":""1255"",""posting_url"":""http://greathomes.org/mls/property/21925995"",""mlong"":""-121.714226"",""state"":""CA"",""prange"":""350-399k"",""zip"":""94571"",""mlat"":""38.202124"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjim25ouu3ct0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""2010-2019"",""zestimate"":""379537"",""premieragent"":""no""}}","null","null","null","null"
"1572901566-2156","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/50-River-Rd-SPC-42-Rio-Vista-CA-94571/2082332844_zpid/","Rio Vista, CA 94571","For sale","50 River Rd SPC 42,","","","","","896","2","2","null","$151,000","Single Family","2016","No Data","No Data","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-fed10aaa-ee7c-4ea0-b448-c2ca8a5584e9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 42"",""aamgnrc1"":""50 River Rd"",""bd"":""2"",""fsbid"":""3031"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082332844"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-3592954972814081767"",""sqftrange"":""500-999"",""price"":""151000"",""sqft"":""896"",""posting_url"":""http://www.century21.com/property/50-River-Rd-Spc-42-Rio-Vista-CA-94571/98100089/detail"",""mlong"":""-121.688583"",""state"":""CA"",""prange"":""150-199k"",""zip"":""94571"",""mlat"":""38.162614"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvg8mltu8j0v20000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""2010-2019"",""zestimate"":""147459"",""premieragent"":""no""}}","null","null","null","null"
"1572901605-2198","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/community/summit-at-liberty/2082796867_zpid/","Rio Vista, CA 94571","New construction","Buildable plan: Cooley, Summit at Liberty,","","","","","1,686","2","2","$404,501","$409,900","Single Family","2019","Forced air","Central","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-9d1a214c-c6b8-42f8-82d1-ef0542bc2a3b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" EK6UXP"",""aamgnrc1"":""2079 Stars Dr"",""bd"":""2"",""fsbid"":""14987"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082796867"",""zestibuck"":""400-449k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""409900"",""sqft"":""1686"",""posting_url"":""https://www.lgihomes.com/community.cfm?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=56407&nhf_listing_type=community&utm_term=comm_SummitatLiberty&utm_campaign=Rio+Vista%2FCA&id=summitatliberty"",""state"":""CA"",""mlong"":""-121.714574"",""cnty"":""Napa"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94571"",""mlat"":""38.199849"",""plid"":""28740799"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbh76mrrppbws0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2010-2019"",""zestimate"":""404501"",""premieragent"":""no"",""builderChatId"":""14987-824092"",""dma"":""37""}}","null","null","null","null"
"1572901538-2124","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/218-Summerset-Dr-3049-Rio-Vista-CA-94571/2082375927_zpid/","Rio Vista, CA 94571","For sale","218 Summerset Dr # 3049,","","","","","2,091","2","3","$534,771","$544,716","Single Family","2019","No Data","No Data","Single Family","6,969 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-c2d94169-3493-410d-80b3-d715a2dfb784"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 3049"",""aamgnrc1"":""218 Summerset Dr"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082375927"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""2683022897686461444"",""sqftrange"":""2000-2499"",""price"":""544716"",""sqft"":""2091"",""posting_url"":""http://greathomes.org/mls/property/21926732"",""mlong"":""-121.704452"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94571"",""mlat"":""38.180775"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnuhot4o9zm7b1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""534771"",""premieragent"":""no""}}","null","null","null","null"
"1572901697-2302","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/community/trilogy-at-rio-vista/2082523056_zpid/","Rio Vista, CA 94571","New construction","Buildable plan: Solana, Trilogy at Rio Vista,","","","","","1,448","2","2","$408,236","$414,228","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-8841f0da-bf08-45b3-98cd-4eb247ea5053"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" H0D65V"",""aamgnrc1"":""1200 Clubhouse Dr"",""bd"":""2"",""fsbid"":""13022"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082523056"",""zestibuck"":""400-449k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""414228"",""sqft"":""1448"",""posting_url"":""https://www.sheahomes.com/new-homes/california/bay-area/rio-vista/trilogy-at-rio-vista/solana/"",""state"":""CA"",""mlong"":""-121.720328"",""cnty"":""Sonoma"",""prange"":""400-449k"",""zip"":""94571"",""mlat"":""38.185402"",""plid"":""4342"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjz2xsdc7ggru0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2010-2019"",""zestimate"":""408236"",""premieragent"":""no"",""builderChatId"":""13022-807186"",""dma"":""37""}}","null","null","null","null"
"1572901664-2261","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/community/summit-at-liberty/2082796866_zpid/","Rio Vista, CA 94571","New construction","Buildable plan: Penny, Summit at Liberty,","","","","","2,054","3","2","$430,102","$434,900","Single Family","2019","Forced air","Central","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-0bea9e77-a3dc-46c6-944c-40180f0ff02d"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 8O6RS4"",""aamgnrc1"":""2079 Stars Dr"",""bd"":""3"",""fsbid"":""14987"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""2082796866"",""zestibuck"":""400-449k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""434900"",""sqft"":""2054"",""posting_url"":""https://www.lgihomes.com/community.cfm?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=56407&nhf_listing_type=community&utm_term=comm_SummitatLiberty&utm_campaign=Rio+Vista%2FCA&id=summitatliberty"",""state"":""CA"",""mlong"":""-121.714574"",""cnty"":""Santa_Clara"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94571"",""mlat"":""38.199849"",""plid"":""28740799"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjn9i4yvxx8ws0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Greenmeadow"",""yrblt"":""2010-2019"",""zestimate"":""430102"",""premieragent"":""no"",""builderChatId"":""14987-824092"",""dma"":""37""}}","null","null","null","null"
"1572901432-2008","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/195-Montezuma-St-Rio-Vista-CA-94571/2099356308_zpid/","Rio Vista, CA 94571","For sale","195 Montezuma St,","2","https://www.zillow.com/rio-vista-ca/2_p/","","","null","--","null","None","$400,000","Multi Family","1915","Forced air","Central","Multi Family","$111","$1,955/mo","4","3","5","{""targetDiv"":""gpt-ad-f83b4c4b-7420-426a-b257-910392594b66"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94571"",""aamgnrc1"":""195 Montezuma St"",""mlat"":""38.155591"",""bd"":""0"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISeov4cadf56z41000000000.jpg"",""zusr"":""true"",""city"":""Rio_Vista"",""proptp"":""mfh"",""pid"":""2099356308"",""yrblt"":""1900-1919"",""lot"":""2"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2089969007702661472"",""premieragent"":""no"",""sqftrange"":""3500-3999"",""price"":""400000"",""sqft"":""3600"",""posting_url"":"""",""mlong"":""-121.692469"",""state"":""CA"",""prange"":""400-449k""}}","null","null","null","null"
"1572901610-2203","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/661-Wilmington-Ln-Rio-Vista-CA-94571/61633271_zpid/","Rio Vista, CA 94571","For sale","661 Wilmington Ln,","","","","","1,105","2","2","$310,746","$314,000","Single Family","1998","Other","Central","Single Family","5,227 sqft","$1,600/mo","4","3","5","{""targetDiv"":""gpt-ad-aeaa73f1-cbca-4c52-bb9d-03af4cada6f5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""661 Wilmington Ln"",""bd"":""2"",""fsbid"":""13601"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""61633271"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-4849009107195507880"",""sqftrange"":""1000-1499"",""price"":""314000"",""sqft"":""1105"",""posting_url"":""http://greathomes.org/mls/property/21927428"",""mlong"":""-121.710806"",""state"":""CA"",""park"":""yes"",""prange"":""300-349k"",""zip"":""94571"",""mlat"":""38.179551"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf8rm651hncxy0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1990-1999"",""zestimate"":""310746"",""premieragent"":""no""}}","null","null","null","null"
"1572901670-2269","https://www.zillow.com/homes/Rio-Vista-CA_rb/","","https://www.zillow.com/homedetails/638-Simmer-Way-Rio-Vista-CA-94571/15651182_zpid/","Rio Vista, CA 94571","Coming soon: Nov 14.","638 Simmer Way,","","","","","1,346","3","2","$346,228","$365,000","Single Family","1997","Forced air","Central","Single Family","6,127 sqft","$1,950/mo","4","3","5","{""targetDiv"":""gpt-ad-3325e38e-4a4b-4349-94c0-d1afcd6aca3c"",""slot"":""zillow/property_details/buy_comingsoon/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""638 Simmer Way"",""bd"":""3"",""city"":""Rio_Vista"",""proptp"":""sfh"",""pid"":""15651182"",""lot"":""2"",""zestibuck"":""300-349k"",""listtp"":""buy_comingsoon"",""zguidh"":""-4888972991364481506"",""sqftrange"":""1000-1499"",""price"":""365000"",""sqft"":""1346"",""posting_url"":"""",""mlong"":""-121.693793"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94571"",""mlat"":""38.172448"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfkc3fbmlxmoq1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1990-1999"",""zestimate"":""346228"",""premieragent"":""no""}}","null","null","null","null"
