web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899430-1140","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/103-Hillside-Dr-Woodside-CA-94062/15597601_zpid/","Woodside, CA 94062","For sale","103 Hillside Dr,","","","1,700","3","3","null","$2,400,000","Single Family","1928","Forced air","Central","Single Family","9,500 sqft","$4,950/mo","9","7","null","{""targetDiv"":""gpt-ad-72f7cabb-71e3-4a34-81b0-256605b0ce2e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""103 Hillside Dr"",""bd"":""3"",""fsbid"":""9457"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15597601"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7493741258718930839"",""sqftrange"":""1500-1999"",""price"":""2400000"",""sqft"":""1700"",""posting_url"":""https://www.sothebysrealty.com/id/54dggj"",""mlong"":""-122.25395"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94062"",""mlat"":""37.437828"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrl9jeaxij1941000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1920-1939"",""zestimate"":""1951312"",""premieragent"":""no""}}","null","null","null","null"
"1572899419-1129","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/1942-Kings-Mountain-Rd-Woodside-CA-94062/15597311_zpid/","Woodside, CA 94062","For sale","1942 Kings Mountain Rd,","","","2,040","3","3","$2,107,053","$2,195,000","Single Family","1977","Forced air","Central","Single Family","3.61 acres","$5,788/mo","9","7","null","{""targetDiv"":""gpt-ad-a1e82f2c-c84f-476e-bfb2-83bc8530ca52"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1942 Kings Mountain Rd"",""bd"":""3"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15597311"",""lot"":""7"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2475529945643138318"",""sqftrange"":""2000-2499"",""price"":""2195000"",""oh"":""yes"",""sqft"":""2040"",""posting_url"":"""",""mlong"":""-122.307103"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94062"",""mlat"":""37.426711"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnup619134zj91000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1970-1979"",""zestimate"":""2107053"",""premieragent"":""no""}}","null","null","null","null"
"1572899535-1223","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/212-Chapman-Rd-Redwood-City-CA-94062/15600510_zpid/","Redwood City, CA 94062","For sale","212 Chapman Rd,","","","2,348","3","3","$1,809,385","$1,850,000","Single Family","1929","Forced air","Central","Single Family","0.91 acres","$4,500/mo","9","7","null","No Data","null","null","null","null"
"1572899471-1178","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/518-Patrol-Rd-Woodside-CA-94062/15596893_zpid/","Woodside, CA 94062","For sale","518 Patrol Rd,","","","2,720","4","3","$3,197,395","$3,295,000","Single Family","1957","Forced air","Central","Single Family","1.34 acres","$8,541/mo","9","7","null","{""targetDiv"":""gpt-ad-ffc01549-9cc9-425e-94ef-1a9ced1d00e9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""518 Patrol Rd"",""bd"":""4"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15596893"",""lot"":""6"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""zguidh"":""-5634887889662773401"",""sqftrange"":""2500-2999"",""price"":""3295000"",""oh"":""yes"",""sqft"":""2720"",""posting_url"":"""",""mlong"":""-122.278386"",""state"":""CA"",""prange"":""3m-3_999m"",""zip"":""94062"",""mlat"":""37.425857"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr9sx0cgr2juu1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1940-1959"",""zestimate"":""3197395"",""premieragent"":""no""}}","null","null","null","null"
"1572899580-1242","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/3545-Partition-Rd-Woodside-CA-94062/15596933_zpid/","Woodside, CA 94062","For sale","3545 Partition Rd,","","","2,230","4","3","$2,523,300","$2,599,000","Single Family","1959","Forced air","None","Single Family","1.03 acres","$6,632/mo","9","7","null","{""targetDiv"":""gpt-ad-29128f5a-cc9a-4c0e-8fac-77043a78b689"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3545 Partition Rd"",""bd"":""4"",""fsbid"":""15050"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15596933"",""lot"":""6"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""7938350128750110351"",""sqftrange"":""2000-2499"",""price"":""2599000"",""sqft"":""2230"",""posting_url"":""http://www.tysonsales.com"",""mlong"":""-122.273601"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94062"",""mlat"":""37.42283"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbxvn8daquuji1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1940-1959"",""zestimate"":""2523300"",""premieragent"":""no""}}","null","null","null","null"
"1572899427-1137","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/110-Stadler-Dr-Woodside-CA-94062/249628706_zpid/","Woodside, CA 94062","For sale","110 Stadler Dr,","","","3,972","4","4","$3,706,112","$3,798,000","Single Family","2019","Forced air","Other","Single Family","1 acre","$5,500/mo","9","7","null","{""targetDiv"":""gpt-ad-f6622825-c0e6-4bcb-bfc6-fbd5d56b4e87"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""110 Stadler Dr"",""bd"":""4"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""249628706"",""lot"":""5,6"",""zestibuck"":""3m-3_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""591846718534822720"",""sqftrange"":""3500-3999"",""price"":""3798000"",""sqft"":""3972"",""posting_url"":""http://www.girouardproperties.com"",""mlong"":""-122.266593"",""state"":""CA"",""park"":""yes"",""prange"":""3m-3_999m"",""zip"":""94062"",""mlat"":""37.388558"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvgct5l8ejg5i1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""3706112"",""premieragent"":""no""}}","null","null","null","null"
"1572899589-1246","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/2312-Alameda-De-Las-Pulgas-Woodside-CA-94061/15592064_zpid/","Woodside, CA 94061","For sale","2312 Alameda De Las Pulgas,","","","2,370","3","3","$2,249,285","$2,249,000","Single Family","1939","Forced air","None","Single Family","0.46 acres","$5,726/mo","5","5","7","{""targetDiv"":""gpt-ad-d2aebbe8-9b8d-4619-9e38-3819bdc62145"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2312 Alameda De Las Pulgas"",""bd"":""3"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15592064"",""lot"":""3"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""2528912590262367543"",""sqftrange"":""2000-2499"",""price"":""2249000"",""sqft"":""2370"",""posting_url"":"""",""mlong"":""-122.228365"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94061"",""mlat"":""37.445992"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7arlo2yi3ema1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1920-1939"",""zestimate"":""2249285"",""premieragent"":""no""}}","null","null","null","null"
"1572899538-1226","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/13240-Skyline-Blvd-Woodside-CA-94062/15589474_zpid/","Woodside, CA 94062","For sale","13240 Skyline Blvd,","","","2,020","3","4","$1,714,413","$1,735,000","Single Family","1969","Baseboard, Forced air","No Data","Single Family","1 acre","$4,800/mo","8","5","8","No Data","null","null","null","null"
"1572899424-1134","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/445-Manzanita-Way-Woodside-CA-94062/15597264_zpid/","Woodside, CA 94062","For sale","445 Manzanita Way,","","","9,345","5","6","$18,548,185","$19,500,000","Single Family","1998","Forced air","Central","Single Family","4.5 acres","$49,979/mo","9","7","null","{""targetDiv"":""gpt-ad-2c7490f7-428c-4b66-8ff4-9676e507705c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""445 Manzanita Way"",""bd"":""5"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15597264"",""lot"":""7"",""zestibuck"":""15m_and_up"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2452918154390686796"",""sqftrange"":""9000-9999"",""price"":""19500000"",""sqft"":""9345"",""posting_url"":""http://www.scottdancer.com"",""mlong"":""-122.245896"",""state"":""CA"",""park"":""yes"",""prange"":""15m_and_up"",""zip"":""94062"",""mlat"":""37.418229"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf44mna6i5ct00000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1990-1999"",""zestimate"":""18548185"",""premieragent"":""no""}}","null","null","null","null"
"1572899433-1143","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/340-Kings-Mountain-Rd-Woodside-CA-94062/15596951_zpid/","Woodside, CA 94062","For sale","340 Kings Mountain Rd,","","","2,480","2","3","$4,852,914","$4,998,000","Single Family","1986","Forced air","None","Single Family","3.06 acres","$12,906/mo","9","7","null","{""targetDiv"":""gpt-ad-60e32c1b-1b4a-44a0-893e-0e8326a856a5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""340 Kings Mountain Rd"",""bd"":""2"",""fsbid"":""13698"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15596951"",""lot"":""7"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""477712683966443692"",""sqftrange"":""2000-2499"",""price"":""4998000"",""sqft"":""2480"",""posting_url"":"""",""mlong"":""-122.27326"",""state"":""CA"",""prange"":""4m-4_999m"",""zip"":""94062"",""mlat"":""37.430795"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrd31uarxnyhb0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1980-1989"",""zestimate"":""4852914"",""premieragent"":""no""}}","null","null","null","null"
"1572899571-1239","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/330-Ridgeway-Rd-Woodside-CA-94062/15593091_zpid/","Woodside, CA 94062","For sale by owner","330 Ridgeway Rd,","","","4,650","5","5","$4,454,183","$5,775,000","Single Family","1979","Forced air","Central","Single Family","1 acre","$11,800/mo","5","5","7","{""targetDiv"":""gpt-ad-97dd07c7-841c-4ac8-946f-10766138700e"",""slot"":""zillow/property_details/buy_owner/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""330 Ridgeway Rd"",""bd"":""5"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""15593091"",""lot"":""5,6"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_owner"",""zguidh"":""8034733308339656573"",""sqftrange"":""4500-4999"",""price"":""5775000"",""sqft"":""4650"",""posting_url"":"""",""mlong"":""-122.254176"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94062"",""mlat"":""37.446476"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS72t5zeipaosm1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1970-1979"",""zestimate"":""4454183"",""premieragent"":""no""}}","null","null","null","null"
"1572899422-1132","https://www.zillow.com/homes/Woodside-CA_rb/","","https://www.zillow.com/homedetails/387-Moore-Rd-Woodside-CA-94062/249628806_zpid/","Woodside, CA 94062","For sale","387 Moore Rd,","","","null","--","null","None","$4,250,000","Single Family","2019","Forced air","Central","Single Family","7.41 acres","$3,950/mo","9","8","null","{""targetDiv"":""gpt-ad-a65f8709-1080-4129-9d70-6b775787349e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94062"",""aamgnrc1"":""387 Moore Rd"",""mlat"":""37.430581"",""bd"":""0"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnupyua08e9y50000000000.jpg"",""zusr"":""true"",""city"":""Woodside"",""proptp"":""sfh"",""pid"":""249628806"",""yrblt"":""2010-2019"",""lot"":""8"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3587970262742029183"",""premieragent"":""no"",""sqftrange"":""7000-7999"",""price"":""4250000"",""sqft"":""7200"",""posting_url"":""http://www.colleenmarchbank.com"",""mlong"":""-122.2353"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m""}}","null","null","null","null"
